arm,cases,moved_pct,move_median_pct,move_p90_pct,move_p99_pct,move_max_pct,one_order_stat_pct
shipped,243,98.35390946502058,0.7295719844357976,4.655426296289896,22.413589135663702,35.60100166944908,6.584362139917696
drv_shipped,243,98.35390946502058,0.7295719844357976,4.655426296289896,22.413589135663702,35.60100166944908,6.584362139917696
cap400,243,94.65020576131687,0.16286644951140067,1.3082839490606484,15.150377880652233,24.362606232294617,16.872427983539097
cap1000,243,93.00411522633745,0.1460564751703992,0.44250493822323356,3.7745910471152793,9.270883631096089,21.810699588477366
cap2000,243,91.76954732510289,0.14520813165537272,0.37586427708743725,1.0043041606886656,2.295552367288379,23.045267489711936
cap5000,243,91.76954732510289,0.14485755673587639,0.3486414206511978,0.924778292394054,2.295552367288379,23.045267489711936
ll1e-7,243,99.1769547325103,0.8149568552253116,4.684341958940497,22.413589135663702,35.60100166944908,2.05761316872428
ll1e-6,243,99.1769547325103,1.58494304110946,4.997701530525178,22.373029019777658,35.60100166944908,1.2345679012345678
stall1e-3,243,100.0,3.777239709443099,8.313152820550311,20.518343054663443,44.74123539232053,0.0
stall1e-4,243,100.0,1.5114578254509994,4.817085047093251,22.312188845948587,35.60100166944908,0.411522633744856
stall1e-5,243,98.76543209876543,0.7801072647489029,4.665064850506763,22.413589135663702,35.60100166944908,3.292181069958848
rel1e-8,243,98.35390946502058,0.7295719844357976,4.665064850506763,22.413589135663702,35.60100166944908,4.938271604938271
aitken1e-7,243,97.53086419753086,0.7295719844357976,4.655426296289896,22.413589135663702,35.60100166944908,6.172839506172839
aitken1e-6,243,99.58847736625515,0.7295719844357976,4.665064850506763,22.413589135663702,35.60100166944908,2.4691358024691357
fallback,243,99.58847736625515,6.967803940413263,19.58171658833724,31.413921817030083,44.74123539232053,0.411522633744856
