arm,cases,moved_pct,move_median_pct,move_p90_pct,move_p99_pct,move_max_pct,one_order_stat_pct
drv_shipped,2258,0.0,0.0,0.0,0.0,0.0,100.0
limit,2258,43.22409211691763,0.0,0.1486032531824611,5.917264466762228,35.60100166944908,80.15943312666076
cap400,2258,9.565987599645705,0.0,0.0,2.7916679849218338,35.39232053422371,91.49689991142604
cap1000,2258,9.610274579273694,0.0,0.0,4.39421156813301,35.39232053422371,91.45261293179804
cap2000,2258,9.610274579273694,0.0,0.0,5.138413465166463,35.39232053422371,91.45261293179804
cap5000,2258,9.610274579273694,0.0,0.0,5.220670758327597,35.39232053422371,91.45261293179804
ll1e-7,2258,51.90434012400355,0.04071661237785017,0.14637734829301494,0.29985007496251875,0.5273250239693192,71.47918511957484
ll1e-6,2258,71.34632418069089,0.14433506567818385,0.6513515630609754,1.3044956395041896,3.146509341199607,38.308237378210805
stall1e-3,2258,74.26926483613818,0.3702195834128631,2.8203859475507174,6.834894946898295,23.55889724310777,32.32949512843224
stall1e-4,2258,63.330380868024804,0.08303932550760525,0.71602900065285,1.9541310457970418,8.270676691729323,47.82993799822852
stall1e-5,2258,39.54827280779451,0.0,0.1923541649884865,0.5309679422972537,1.5915119363395225,76.43932683790965
rel1e-8,2258,16.20903454384411,0.0,0.04193755186086555,0.09574659786979119,0.2506265664160401,98.40566873339239
aitken1e-7,2258,16.2533215234721,0.0,0.04182350480970305,0.08234358144643773,0.24330900243309003,98.7156775907883
aitken1e-6,2258,60.363153232949514,0.04782400765184123,0.19175455417066153,0.32869767149686,1.5915119363395225,62.22320637732507
fallback,2258,10.717449069973428,0.0,0.7916825849343636,15.828378210536501,27.66779333655239,89.32683790965457
