arm,cases,moved_pct,move_median_pct,move_p90_pct,move_p99_pct,move_max_pct,one_order_stat_pct
shipped,2258,43.22409211691763,0.0,0.1486032531824611,5.917264466762228,35.60100166944908,80.15943312666076
drv_shipped,2258,43.22409211691763,0.0,0.1486032531824611,5.917264466762228,35.60100166944908,80.15943312666076
cap400,2258,42.78122232063774,0.0,0.10006012024048096,1.4402416761363293,24.362606232294617,81.31089459698848
cap1000,2258,42.604074402125775,0.0,0.09896091044037605,0.484883185199432,9.270883631096089,81.84233835252435
cap2000,2258,42.47121346324181,0.0,0.09878007124383935,0.3914645854625402,2.295552367288379,81.97519929140833
cap5000,2258,42.47121346324181,0.0,0.09873130781324266,0.3873055940738362,2.295552367288379,81.97519929140833
ll1e-7,2258,61.868910540301144,0.048638132295719845,0.3363767419509851,5.971783835485343,35.60100166944908,55.713020372010625
ll1e-6,2258,72.9406554472985,0.16590626296142677,0.9640889092328316,6.438622132235586,35.60100166944908,36.005314437555356
stall1e-3,2258,75.022143489814,0.4046944556859571,3.4976648593899906,11.17020470663901,44.74123539232053,31.089459698848536
stall1e-4,2258,68.29052258635961,0.1217780836029901,1.1497702874425717,6.628541546547923,35.60100166944908,42.648361381753766
stall1e-5,2258,57.440212577502216,0.0417972996061882,0.41442337863949397,5.917264466762228,35.60100166944908,60.717449069973426
rel1e-8,2258,48.848538529672275,0.0,0.19455252918287938,5.917264466762228,35.60100166944908,75.28786536758193
aitken1e-7,2258,49.73427812223206,0.0,0.15030060120240482,5.917264466762228,35.60100166944908,76.52790079716564
aitken1e-6,2258,68.95482728077945,0.08210180623973727,0.33788677620159996,5.917264466762228,35.60100166944908,48.228520814880426
fallback,2258,43.3569530558016,0.0,1.8011516277815716,20.817188011470872,44.74123539232053,79.49512843224092
