scope,arm,window,metric,n_cells,safe_on,safe_off,delta_on_minus_off,win_rate_on,p_wilcoxon,note
app_visible,visual_genome_m/siglip/whole_image,post_ramp_21_plus,fnr,34,0.14004964399824033,0.13612601801470592,0.003923625983534436,0.4117647058823529,0.7731171162909528,
app_visible,visual_genome_m/siglip/whole_image,post_ramp_21_plus,fpr,34,0.20094480032679737,0.19014895625000003,0.010795844076797387,0.35294117647058826,0.03000989131308078,
app_visible,visual_genome_m/siglip/whole_image,post_ramp_21_plus,regret,34,0.06442754918929111,0.061873198161764696,0.002554351027526395,0.47058823529411764,0.9426105124576512,
app_visible,visual_genome_m/siglip/whole_image,post_ramp_21_plus,average_precision,34,0.5520792859005781,0.5554930580882355,-0.0034137721876571275,0.5294117647058824,0.517047890994101,
app_visible,visual_genome_m/siglip/whole_image,post_ramp_21_plus,auroc,34,0.8987433302853194,0.9078105334558825,-0.009067203170563087,0.6470588235294118,0.0092710251720259,
app_visible,visual_genome_m/siglip/whole_image,post_ramp_21_plus,degenerate,34,0.0,0.0,0.0,0.0,,all-zero or empty
app_visible,caltech101_m/siglip/whole_image,all_steps,cost,12,0.05573971482765581,0.016889808789544984,0.03884990603811083,0.0,0.0625,
app_visible,caltech101_m/siglip/whole_image,all_steps,fnr,12,0.00030193705673758865,0.00030193705673758865,0.0,0.0,,all-zero or empty
app_visible,caltech101_m/siglip/whole_image,all_steps,fpr,12,0.05543777865744306,0.016587872619332217,0.03884990603811083,0.0,0.0625,
app_visible,caltech101_m/siglip/whole_image,all_steps,regret,12,0.0556452183737551,0.016797544605147822,0.03884767376860728,0.0,0.0625,
app_visible,caltech101_m/siglip/whole_image,all_steps,average_precision,12,0.9999888936170213,0.999990645390071,-1.7517730496463546e-06,0.08333333333333333,1.0,
app_visible,caltech101_m/siglip/whole_image,all_steps,auroc,12,0.9999959946808511,0.9999960957446808,-1.0106382978640009e-07,0.08333333333333333,1.0,
app_visible,caltech101_m/siglip/whole_image,all_steps,degenerate,12,0.0,0.0,0.0,0.0,,all-zero or empty
app_visible,coco_val/siglip/whole_image,all_steps,cost,38,0.23446729600484142,0.22722543812989918,0.007241857874942203,0.39473684210526316,0.34991778631228954,
app_visible,coco_val/siglip/whole_image,all_steps,fnr,38,0.08203829588282201,0.08361797844344904,-0.0015796825606270444,0.42105263157894735,0.94989208210935,
app_visible,coco_val/siglip/whole_image,all_steps,fpr,38,0.1524290198040667,0.14360746640537514,0.008821553398691544,0.4473684210526316,0.28023510504863225,
app_visible,coco_val/siglip/whole_image,all_steps,regret,38,0.07339820117038529,0.06795147452407614,0.005446726646309154,0.4473684210526316,0.20963568658771692,
app_visible,coco_val/siglip/whole_image,all_steps,average_precision,38,0.7202024352296988,0.7241374594064949,-0.003935024176796104,0.47368421052631576,0.8747200220095692,
app_visible,coco_val/siglip/whole_image,all_steps,auroc,38,0.9504373571077313,0.9533971156215005,-0.00295975851376936,0.6578947368421053,0.05491723805607762,
app_visible,coco_val/siglip/whole_image,all_steps,degenerate,38,0.0,0.0,0.0,0.0,,all-zero or empty
app_visible,visual_genome_m/siglip/whole_image,all_steps,cost,34,0.3652508952170284,0.3466900301279572,0.018560865089071208,0.20588235294117646,0.002957462130717483,
app_visible,visual_genome_m/siglip/whole_image,all_steps,fnr,34,0.1455788942390285,0.1409511887113986,0.004627705527629873,0.3235294117647059,0.455667149062427,
app_visible,visual_genome_m/siglip/whole_image,all_steps,fpr,34,0.21967199370149726,0.20573882016217288,0.013933173539324424,0.29411764705882354,0.01565848334220057,
app_visible,visual_genome_m/siglip/whole_image,all_steps,regret,34,0.07484437898222186,0.0698955003796968,0.004948878602525046,0.38235294117647056,0.4048347221574208,
app_visible,visual_genome_m/siglip/whole_image,all_steps,average_precision,34,0.5380825496688484,0.5418779360334954,-0.003795386364647129,0.47058823529411764,0.517047890994101,
app_visible,visual_genome_m/siglip/whole_image,all_steps,auroc,34,0.8909241640668008,0.9007005370593951,-0.00977637299259421,0.7058823529411765,0.0013820358574399946,
app_visible,visual_genome_m/siglip/whole_image,all_steps,degenerate,34,0.0,0.0,0.0,0.0,,all-zero or empty
all_steps,caltech101_m/siglip/whole_image,pure_gmm_2_5,cost,12,0.5501157083333333,0.49472954166666677,0.05538616666666668,0.16666666666666666,0.3125,
all_steps,caltech101_m/siglip/whole_image,pure_gmm_2_5,fnr,12,0.014547083333333334,0.016441041666666666,-0.0018939583333333334,0.08333333333333333,1.0,
