arm,run,n_votes,cost,fnr,fpr,threshold,degenerate,app_trained,n_rows
caltech101_m/siglip/whole_image,safe_off,4,0.4714514545454546,0.02235018181818182,0.44910127272727274,0.519441909090909,0.0,0.0,11
caltech101_m/siglip/whole_image,safe_on,4,0.5595927272727272,0.01821790909090909,0.5413748181818182,0.515905,0.0,0.0,11
caltech101_m/siglip/whole_image,safe_off,5,0.4770106666666667,0.012394416666666666,0.46461625,0.4835388333333333,0.0,0.0,12
caltech101_m/siglip/whole_image,safe_on,5,0.5069868333333333,0.012394416666666666,0.49459241666666665,0.48908175,0.0,0.0,12
caltech101_m/siglip/whole_image,safe_off,6,0.23969483333333333,0.01702575,0.22266908333333335,0.49084383333333337,0.0,0.0,12
caltech101_m/siglip/whole_image,safe_on,6,0.25624375000000005,0.01702575,0.23921800000000001,0.5090334166666667,0.0,0.0,12
caltech101_m/siglip/whole_image,safe_off,7,0.23726900000000004,0.010066916666666667,0.22720208333333333,0.47338691666666666,0.0,0.8333333333333334,12
caltech101_m/siglip/whole_image,safe_on,7,0.27267275,0.010066916666666667,0.26260583333333337,0.4874289166666667,0.0,0.75,12
caltech101_m/siglip/whole_image,safe_off,8,0.13012208333333333,0.0014563333333333331,0.12866575,0.4767975,0.0,0.9166666666666666,12
caltech101_m/siglip/whole_image,safe_on,8,0.23028183333333332,0.0014563333333333331,0.22882550000000001,0.48707324999999996,0.0,0.8333333333333334,12
caltech101_m/siglip/whole_image,safe_off,9,0.10211425,0.0014563333333333331,0.10065791666666667,0.47676891666666665,0.0,0.9166666666666666,12
caltech101_m/siglip/whole_image,safe_on,9,0.15682166666666666,0.0014563333333333331,0.15536533333333333,0.5016229166666667,0.0,0.8333333333333334,12
caltech101_m/siglip/whole_image,safe_off,10,0.07425775,0.008184499999999999,0.06607325,0.48057258333333336,0.0,0.9166666666666666,12
caltech101_m/siglip/whole_image,safe_on,10,0.16232675,0.008184499999999999,0.15414225,0.5004935,0.0,0.9166666666666666,12
caltech101_m/siglip/whole_image,safe_off,11,0.05332475,0.0007440833333333333,0.05258075,0.47509583333333333,0.0,0.9166666666666666,12
caltech101_m/siglip/whole_image,safe_on,11,0.19365325,0.0007440833333333333,0.19290925,0.485712,0.0,0.9166666666666666,12
caltech101_m/siglip/whole_image,safe_off,12,0.02513475,0.004305333333333334,0.020829416666666666,0.48801350000000004,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,12,0.14624525,0.004305333333333334,0.14193991666666667,0.4876100833333334,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,13,0.0399225,0.0007440833333333333,0.03917841666666667,0.46779750000000003,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,13,0.13851891666666669,0.0007440833333333333,0.13777483333333332,0.4813934166666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,14,0.04058291666666666,0.0,0.04058291666666666,0.46101491666666666,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,14,0.15443291666666667,0.0,0.15443291666666667,0.46909666666666666,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,15,0.01831575,0.0,0.01831575,0.4747470833333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,15,0.08498108333333333,0.0,0.08498108333333333,0.48200266666666663,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,16,0.029077499999999996,0.0,0.029077499999999996,0.47301991666666665,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,16,0.1198825,0.0,0.1198825,0.4612569166666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,17,0.006630999999999999,0.0007122500000000001,0.0059187499999999995,0.46877066666666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,17,0.10489491666666667,0.0007122500000000001,0.10418266666666666,0.46199425,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,18,0.042159833333333334,0.0,0.042159833333333334,0.4565735833333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,18,0.17951550000000002,0.0,0.17951550000000002,0.43427991666666665,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,19,0.04364041666666666,0.0,0.04364041666666666,0.4402020833333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,19,0.13207233333333332,0.0,0.13207233333333332,0.42612958333333334,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,20,0.021870333333333335,0.0,0.021870333333333335,0.4403569166666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,20,0.08679266666666667,0.0,0.08679266666666667,0.4288375,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,21,0.012267750000000001,0.0,0.012267750000000001,0.46334925000000005,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,21,0.08865691666666668,0.0,0.08865691666666668,0.42892383333333334,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,22,0.012950249999999998,0.0,0.012950249999999998,0.46144216666666665,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,22,0.053032833333333335,0.0,0.053032833333333335,0.4358028333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,23,0.0332815,0.0,0.0332815,0.44903566666666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,23,0.07318591666666667,0.0,0.07318591666666667,0.42041875,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,24,0.014183250000000001,0.0,0.014183250000000001,0.44968199999999997,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,24,0.042243166666666665,0.0,0.042243166666666665,0.4284799166666666,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,25,0.0286585,0.0,0.0286585,0.462139,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,25,0.05507641666666666,0.0,0.05507641666666666,0.43077666666666664,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,26,0.014736666666666667,0.0007122500000000001,0.014024416666666666,0.4616153333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,26,0.04641508333333333,0.0007122500000000001,0.04570283333333333,0.4222079166666666,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,27,0.011788583333333333,0.0,0.011788583333333333,0.4603903333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,27,0.04584025,0.0,0.04584025,0.42536775,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,28,0.007113833333333333,0.0,0.007113833333333333,0.4594719166666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,28,0.044654,0.0,0.044654,0.417003,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,29,0.010975583333333332,0.0,0.010975583333333332,0.45736441666666666,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,29,0.03575675,0.0,0.03575675,0.42377233333333336,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,30,0.011803583333333333,0.0,0.011803583333333333,0.44909925,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,30,0.04137025,0.0,0.04137025,0.4204765,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,31,0.02601625,0.0,0.02601625,0.45931933333333336,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,31,0.055593000000000004,0.0,0.055593000000000004,0.41084866666666664,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,32,0.022154499999999997,0.0,0.022154499999999997,0.45925600000000005,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,32,0.04658183333333333,0.0,0.04658183333333333,0.4200201666666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,33,0.019105666666666667,0.0,0.019105666666666667,0.45887116666666666,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,33,0.04618341666666667,0.0,0.04618341666666667,0.41913316666666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,34,0.007926833333333333,0.0,0.007926833333333333,0.46055074999999995,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,34,0.038323333333333334,0.0,0.038323333333333334,0.4105688333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,35,0.010772333333333333,0.0,0.010772333333333333,0.45929975,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,35,0.0345935,0.0,0.0345935,0.4103474166666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,36,0.011991833333333334,0.0,0.011991833333333334,0.4576248333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,36,0.030883416666666663,0.0,0.030883416666666663,0.42251575,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,37,0.013211416666666668,0.0,0.013211416666666668,0.45648358333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,37,0.03699341666666667,0.0,0.03699341666666667,0.4071933333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,38,0.020021,0.0,0.020021,0.446374,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,38,0.04622925,0.0,0.04622925,0.39642316666666666,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,39,0.009552833333333333,0.0,0.009552833333333333,0.45464575,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,39,0.03662783333333333,0.0,0.03662783333333333,0.4036166666666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,40,0.012398333333333332,0.0,0.012398333333333332,0.45257691666666666,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,40,0.0396675,0.0,0.0396675,0.4010095,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,41,0.011991833333333334,0.0,0.011991833333333334,0.45184575,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,41,0.03821875,0.0,0.03821875,0.4025883333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,42,0.014634166666666665,0.0,0.014634166666666665,0.4501745,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,42,0.045149249999999995,0.0,0.045149249999999995,0.3986673333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,43,0.015853666666666665,0.0,0.015853666666666665,0.4490645,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,43,0.043518749999999995,0.0,0.043518749999999995,0.39805341666666666,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,44,0.017276416666666666,0.0,0.017276416666666666,0.4481378333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,44,0.04655108333333333,0.0,0.04655108333333333,0.39721633333333334,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,45,0.005284583333333333,0.0,0.005284583333333333,0.4493004166666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,45,0.029848,0.0,0.029848,0.3988851666666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,46,0.010772333333333333,0.0,0.010772333333333333,0.4469295833333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,46,0.03450491666666666,0.0,0.03450491666666666,0.3969274166666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,47,0.007113833333333333,0.0,0.007113833333333333,0.44636625,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,47,0.032089,0.0,0.032089,0.39678975,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,48,0.004878083333333333,0.0,0.004878083333333333,0.44594683333333335,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,48,0.0304865,0.0,0.0304865,0.39540216666666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,49,0.00386175,0.0,0.00386175,0.44551650000000004,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,49,0.028042666666666664,0.0,0.028042666666666664,0.3961794166666666,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,50,0.0036585,0.0,0.0036585,0.4447448333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,50,0.02703675,0.0,0.02703675,0.3957745833333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,51,0.005894333333333334,0.0,0.005894333333333334,0.4431408333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,51,0.02867575,0.0,0.02867575,0.39452025,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,52,0.004268333333333333,0.0,0.004268333333333333,0.4431083333333334,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,52,0.02949575,0.0,0.02949575,0.393584,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,53,0.005487833333333333,0.0,0.005487833333333333,0.4415510833333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,53,0.032141499999999996,0.0,0.032141499999999996,0.39210525,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,54,0.005487833333333333,0.0,0.005487833333333333,0.4411460833333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,54,0.03277375,0.0,0.03277375,0.3913338333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,55,0.00345525,0.0,0.00345525,0.4409436666666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,55,0.027264083333333338,0.0,0.027264083333333338,0.39185183333333334,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,56,0.005284583333333333,0.0,0.005284583333333333,0.4397241666666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,56,0.027876583333333333,0.0,0.027876583333333333,0.39093975000000003,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,57,0.005691083333333334,0.0,0.005691083333333334,0.4389071666666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,57,0.028480166666666668,0.0,0.028480166666666668,0.39016425,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,58,0.005284583333333333,0.0,0.005284583333333333,0.4384350833333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,58,0.028692416666666665,0.0,0.028692416666666665,0.38939558333333335,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,59,0.005284583333333333,0.0,0.005284583333333333,0.4381521666666666,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,59,0.03301425,0.0,0.03301425,0.38818491666666666,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,60,0.005284583333333333,0.0,0.005284583333333333,0.4374766666666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,60,0.029569250000000002,0.0,0.029569250000000002,0.38830499999999996,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,61,0.005284583333333333,0.0,0.005284583333333333,0.4372795,0.0,1.0,12
