tier,cell,class_id,source,method,k,n_positive,n_pool,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
s,d128,tobacco800/logo_afm90c00-first_1_0,tobacco800,d128_1000_sift,1000,81,4841,0.9506172839506173,0.8971102999210608,1,0.12345679012345678,0.6172839506172839,0.8765432098765432
s,d128,tobacco800/logo_afm90c00-first_1_0,tobacco800,d128_2000_sift,2000,81,4841,1.0,0.924406111438479,1,0.12345679012345678,0.6172839506172839,0.9012345679012346
s,d128,tobacco800/logo_ajj10e00_1,tobacco800,d128_alone,,49,4841,,0.2721615543248085,1,0.12244897959183673,0.3469387755102041,0.40816326530612246
s,d128,tobacco800/logo_ajj10e00_1,tobacco800,sift_exhaustive,,49,4841,,0.974624059603051,1,0.20408163265306123,0.9591836734693877,0.9795918367346939
s,d128,tobacco800/logo_ajj10e00_1,tobacco800,d128_100_sift,100,49,4841,0.40816326530612246,0.4590622391889483,1,0.20408163265306123,0.40816326530612246,0.40816326530612246
s,d128,tobacco800/logo_ajj10e00_1,tobacco800,d128_500_sift,500,49,4841,0.7551020408163265,0.7669598681301897,1,0.20408163265306123,0.7551020408163265,0.7551020408163265
s,d128,tobacco800/logo_ajj10e00_1,tobacco800,d128_1000_sift,1000,49,4841,0.8979591836734694,0.8989225011606965,1,0.20408163265306123,0.8775510204081632,0.8979591836734694
s,d128,tobacco800/logo_ajj10e00_1,tobacco800,d128_2000_sift,2000,49,4841,1.0,0.9776430466085639,1,0.20408163265306123,0.9591836734693877,0.9795918367346939
s,d128,tobacco800/logo_ald41a00-ernest_1,tobacco800,d128_alone,,50,4841,,0.07593178555125674,3,0.02,0.08,0.18
s,d128,tobacco800/logo_ald41a00-ernest_1,tobacco800,sift_exhaustive,,50,4841,,0.9678608863116999,1,0.2,0.92,0.98
s,d128,tobacco800/logo_ald41a00-ernest_1,tobacco800,d128_100_sift,100,50,4841,0.18,0.23270667569559453,1,0.18,0.18,0.18
s,d128,tobacco800/logo_ald41a00-ernest_1,tobacco800,d128_500_sift,500,50,4841,0.64,0.6556694735012267,1,0.2,0.64,0.64
s,d128,tobacco800/logo_ald41a00-ernest_1,tobacco800,d128_1000_sift,1000,50,4841,0.86,0.8599324275181189,1,0.2,0.86,0.86
s,d128,tobacco800/logo_ald41a00-ernest_1,tobacco800,d128_2000_sift,2000,50,4841,0.94,0.9236581184176843,1,0.2,0.88,0.92
s,d128,tobacco800/logo_asg54f00_1,tobacco800,d128_alone,,5,4841,,0.9028571428571428,1,1.0,1.0,1.0
s,d128,tobacco800/logo_asg54f00_1,tobacco800,sift_exhaustive,,5,4841,,0.6638095238095238,1,0.6,1.0,1.0
s,d128,tobacco800/logo_asg54f00_1,tobacco800,d128_100_sift,100,5,4841,1.0,0.9028571428571428,1,1.0,1.0,1.0
s,d128,tobacco800/logo_asg54f00_1,tobacco800,d128_500_sift,500,5,4841,1.0,0.7588235294117647,1,0.8,1.0,1.0
