budget,metric,arm,ref,n,ref_mean,arm_mean,delta,se,wilcoxon_p
100,fnr,gp_dot_blend,app_xcal,30,0.0037037,0.0,-0.0037037,0.0037037000000000003,0.31731050786291415
100,fnr,gp_rbf_blend_straddle,app_xcal,30,0.0037037,0.0074074,0.0037037,0.0037037000000000003,0.31731050786291415
100,fnr,gp_rbf_blend_maxvar,app_xcal,30,0.0037037,0.014130100000000001,0.0104264,0.006154406442821944,0.10880943004054568
100,average_precision,app,app_xcal,30,1.0,1.0,0.0,0.0,
100,average_precision,gp_rbf,app_xcal,30,1.0,1.0,0.0,0.0,
100,average_precision,gp_rbf_rank,app_xcal,30,1.0,1.0,0.0,0.0,
100,average_precision,gp_rbf_blend,app_xcal,30,1.0,1.0,0.0,0.0,
100,average_precision,gp_dot_blend,app_xcal,30,1.0,1.0,0.0,0.0,
100,average_precision,gp_rbf_blend_straddle,app_xcal,30,1.0,1.0,0.0,0.0,
100,average_precision,gp_rbf_blend_maxvar,app_xcal,30,1.0,1.0,0.0,0.0,
150,cost,app,app_xcal,30,0.0026158333333333333,0.1022817,0.09966586666666667,0.028883507953988606,0.023095732617466558
150,cost,gp_rbf,app_xcal,30,0.0026158333333333333,0.004135499999999999,0.0015196666666666668,0.0038003144631934185,0.126032729377401
150,cost,gp_rbf_rank,app_xcal,30,0.0026158333333333333,0.5387016,0.5360857666666666,0.057844586993948025,2.554465375675972e-06
150,cost,gp_rbf_blend,app_xcal,30,0.0026158333333333333,0.05689503333333333,0.05427920000000001,0.019164476528285825,0.05521337554271477
150,cost,gp_dot_blend,app_xcal,30,0.0026158333333333333,0.055549733333333344,0.052933900000000006,0.01572239918673392,0.012264459334142642
150,cost,gp_rbf_blend_straddle,app_xcal,30,0.0026158333333333333,0.012169300000000001,0.009553466666666668,0.008767371238642095,0.20942675696103719
150,cost,gp_rbf_blend_maxvar,app_xcal,30,0.0026158333333333333,0.012169300000000001,0.009553466666666668,0.008767371238642095,0.20942675696103719
150,fnr,app,app_xcal,30,0.0,0.0,0.0,0.0,
150,fnr,gp_rbf,app_xcal,30,0.0,0.0037037,0.0037037,0.0037037000000000003,0.31731050786291415
150,fnr,gp_rbf_rank,app_xcal,30,0.0,0.5362725666666666,0.5362725666666666,0.05837183944137265,8.194321201616957e-06
150,fnr,gp_rbf_blend,app_xcal,30,0.0,0.05681333333333334,0.05681333333333334,0.01894802329849492,0.007632441648205508
150,fnr,gp_dot_blend,app_xcal,30,0.0,0.055549733333333344,0.055549733333333344,0.015662302402561126,0.003283460986069043
150,fnr,gp_rbf_blend_straddle,app_xcal,30,0.0,0.012169300000000001,0.012169300000000001,0.008666754013151794,0.17971249487899976
150,fnr,gp_rbf_blend_maxvar,app_xcal,30,0.0,0.012169300000000001,0.012169300000000001,0.008666754013151794,0.17971249487899976
150,average_precision,app,app_xcal,30,1.0,1.0,0.0,0.0,
150,average_precision,gp_rbf,app_xcal,30,1.0,1.0,0.0,0.0,
150,average_precision,gp_rbf_rank,app_xcal,30,1.0,1.0,0.0,0.0,
150,average_precision,gp_rbf_blend,app_xcal,30,1.0,1.0,0.0,0.0,
150,average_precision,gp_dot_blend,app_xcal,30,1.0,1.0,0.0,0.0,
150,average_precision,gp_rbf_blend_straddle,app_xcal,30,1.0,1.0,0.0,0.0,
150,average_precision,gp_rbf_blend_maxvar,app_xcal,30,1.0,1.0,0.0,0.0,
AULC,aulc_cost,app,app_xcal,30,0.006496681818181818,0.058633213519813515,0.052136531701631704,0.014461204254890444,0.00011058151721954346
AULC,aulc_cost,gp_rbf,app_xcal,30,0.006496681818181818,0.16840132027972032,0.16190463846153846,0.026025707393182516,9.313225746154785e-09
AULC,aulc_cost,gp_rbf_rank,app_xcal,30,0.006496681818181818,0.5289674923076924,0.5224708104895105,0.04576892954934225,1.862645149230957e-09
AULC,aulc_cost,gp_rbf_blend,app_xcal,30,0.006496681818181818,0.033345029603729606,0.026848347785547788,0.007307229149940427,4.7124922275543213e-07
AULC,aulc_cost,gp_dot_blend,app_xcal,30,0.006496681818181818,0.051463141958041955,0.04496646013986014,0.00898676422374957,2.0489096641540527e-07
AULC,aulc_cost,gp_rbf_blend_straddle,app_xcal,30,0.006496681818181818,0.058745541258741256,0.052248859440559445,0.01659126218460517,3.904104232788086e-05
AULC,aulc_cost,gp_rbf_blend_maxvar,app_xcal,30,0.006496681818181818,0.019272275058275053,0.012775593240093235,0.004270785139715003,1.0609626770019531e-05
25,cost,app_xcal,app,30,0.04882053333333333,0.004138500000000001,-0.04468203333333333,0.01810472860925853,0.0064064902221673695
25,cost,gp_rbf,app,30,0.04882053333333333,0.47923753333333335,0.43041700000000005,0.08277192964360827,0.0003958170582658894
25,cost,gp_rbf_rank,app,30,0.04882053333333333,0.5213673,0.4725467666666666,0.06231124501933052,9.310594407693577e-06
25,cost,gp_rbf_blend,app,30,0.04882053333333333,0.07307186666666668,0.024251333333333337,0.03951596622656667,0.9272980307084063
