arm,n_cells,cost@25,cost@50,cost@100,cost@150,fnr@50,fnr@150,average_precision@50,average_precision@150,aulc_cost
app,30,0.04882053333333333,0.019823966666666668,0.05770756666666667,0.1022817,0.0,0.0,1.0,1.0,0.05863321351981352
app_xcal,30,0.0041385,0.004678366666666667,0.005005566666666667,0.0026158333333333333,0.0037037,0.0,1.0,1.0,0.006496681818181818
gp_rbf,30,0.47923753333333335,0.38431010000000004,0.1175664,0.004135499999999999,0.0,0.0037037,1.0,1.0,0.1684013202797203
gp_rbf_rank,30,0.5213673,0.4998709,0.5840292333333333,0.5387016,0.4930555333333333,0.5362725666666666,1.0,1.0,0.5289674923076924
gp_rbf_blend,30,0.07307186666666667,0.014850366666666667,0.0022765,0.05689503333333334,0.0,0.05681333333333334,1.0,1.0,0.033345029603729606
gp_dot_blend,30,0.17164683333333333,0.01938746666666667,0.009297633333333333,0.05554973333333334,0.0074074,0.05554973333333334,1.0,1.0,0.051463141958041955
gp_rbf_blend_straddle,30,0.15103663333333334,0.09063646666666667,0.0074074,0.012169300000000001,0.0056645,0.012169300000000001,1.0,1.0,0.058745541258741256
gp_rbf_blend_maxvar,30,0.0033277333333333334,0.0041935,0.014130100000000001,0.012169300000000001,0.0037037,0.012169300000000001,1.0,1.0,0.019272275058275057
