trainer,n_labels,auroc,average_precision,best_f1,f1_at_xcal,brier,ece,std_mean,train_seconds,n_cells,n_actual_mean
gp_dot,8,0.9997815095259159,0.9973745210024413,0.9870399136459442,0.6493576929463204,0.2106221388358338,0.4332558519856875,0.23188378923573702,0.04535666666666667,30,8.0
gp_dot,16,0.9999241808466318,0.9980044846379086,0.9960460941322681,0.8141473799084166,0.1354189828684885,0.3576459866607761,0.39431715083577534,0.03973666666666666,30,16.0
gp_dot,32,0.99997799779978,0.99953216374269,0.9988505747126436,0.8898516208711764,0.09195279808839171,0.29476469676385747,0.3784844155907812,0.04707333333333333,30,27.833333333333332
gp_dot,64,0.9999559955995599,0.9989678649237472,0.9954764553207267,0.8660325585807317,0.0664594979497278,0.24900450650008782,0.3596162016104723,0.07681333333333333,30,46.5
gp_dot,128,0.9999614961496149,0.9991830065359477,0.9977011494252873,0.9195490043501541,0.047616700439519336,0.2106375496824834,0.33948836247593295,0.22308666666666666,30,83.83333333333333
gp_rbf,8,0.9997815701492988,0.9972936099258365,0.9910999531248136,0.6827131819416379,0.21361931014386315,0.448354518130855,0.33115371541694305,0.05156333333333333,30,8.0
gp_rbf,16,0.9999214608832958,0.9979353520933418,0.9961891063266114,0.8318679547624322,0.13828915759954502,0.36304663210415905,0.39371405750566374,0.053386666666666666,30,16.0
gp_rbf,32,0.9999889988998899,0.9997385620915032,0.9988505747126436,0.8830309980722479,0.08792751931623778,0.2883822489475831,0.3700372918337574,0.04796,30,27.833333333333332
gp_rbf,64,0.999972497249725,0.9993218954248366,0.9956247682610309,0.8767848073382779,0.05728121532874537,0.23000030904775653,0.3333091322178531,0.07348666666666667,30,46.5
gp_rbf,128,0.9999513582745135,0.9987200435729847,0.9957403651115618,0.9227219159798182,0.03569187170154995,0.17943326037369786,0.2971694308102287,0.16076666666666664,30,83.83333333333333
gp_rbf@fixed,8,0.9997968065812078,0.9979385974061206,0.990261226606531,0.7778293685686225,0.23182061148702934,0.44961362284281337,0.17860624116013937,0.002013333333333333,30,8.0
gp_rbf@fixed,16,0.9999036535613531,0.9974522685889734,0.9937941946282752,0.6479050927266587,0.2087592042497087,0.4415949810556217,0.16639065810993564,0.00216,30,16.0
gp_rbf@fixed,32,0.9999287575482954,0.9982080909506602,0.9920506496850616,0.7204527951415548,0.14379693930970852,0.37030163139864164,0.1502090911778707,0.0024666666666666665,30,27.833333333333332
gp_rbf@fixed,64,0.9999220336183748,0.9983422573199124,0.9952567384430056,0.7675377255516963,0.08153138746824592,0.27491238416899744,0.12481267753837234,0.00362,30,46.5
gp_rbf@fixed,128,0.9998915245372241,0.9971572018880752,0.9930345162207833,0.7172574664360811,0.04442740524449211,0.19188466489047507,0.09458730425194832,0.009333333333333332,30,83.83333333333333
svm_linear,8,0.9997716231858905,0.9967702522362615,0.987043761057598,0.7768767022365068,0.18393155345416784,0.4181784719922913,,0.038476666666666666,30,8.0
svm_linear,16,0.9999140429715304,0.9978213344547584,0.9960460941322681,0.7897770137767018,0.15191257931653102,0.38241392201810803,,0.00295,30,16.0
svm_linear,32,0.99997799779978,0.99953216374269,0.9988505747126436,0.8595489314016114,0.12138663499781877,0.3427881733206002,,0.00322,30,27.833333333333332
svm_linear,64,0.9999669966996699,0.999229302832244,0.996625880608083,0.8428783585175861,0.10567440486934758,0.32028538515600563,,0.004683333333333333,30,46.5
svm_linear,128,0.9999513582745135,0.9987200435729847,0.9957403651115618,0.8994950235402385,0.09142457610352869,0.2984476375958699,,0.007573333333333333,30,83.83333333333333
