arm,steps,flagged_nothing,flagged_everything,mean_threshold,mean_train_seconds,mean_xcal_seconds
app,588,0.0,0.0,,0.00694480612244898,0.012352795918367347
app_xcal,588,0.0,0.0,,0.00825328231292517,0.0142215
