geometry,mode,band,fraction,delta,se,n_cells_paired,n_cells_arm,n_cells_incumbent,resolved,metric
dinov3_patch/max_patch,region,late 61-100,0.3,0.0005493692708333334,0.0023857055394415354,48,48,144,False,regret_honest
dinov3_patch/max_patch,region,late 61-100,0.4,0.0006406072916666663,0.002557085203300366,48,48,144,False,regret_honest
dinov3_patch/max_patch,region,late 61-100,0.6,-0.0022955500000000004,0.0031752377547331523,48,48,144,False,regret_honest
dinov3_patch/max_patch,region,late 61-100,0.7,0.011066608854166667,0.004151374747837052,48,48,144,True,regret_honest
dinov3_patch/max_patch,region,mid 26-60,0.3,-0.0012819416666666672,0.003787618784291397,48,48,144,False,regret_honest
dinov3_patch/max_patch,region,mid 26-60,0.4,-0.005326483928571428,0.00259187747555246,48,48,144,True,regret_honest
dinov3_patch/max_patch,region,mid 26-60,0.6,0.002788582738095239,0.004880335312503331,48,48,144,False,regret_honest
dinov3_patch/max_patch,region,mid 26-60,0.7,0.005051617261904762,0.00345662573302932,48,48,144,False,regret_honest
dinov3_patch/whole_image,binary,deep 101-150,0.3,0.014976913333333333,0.005051355352190203,48,48,144,True,regret_honest
dinov3_patch/whole_image,binary,deep 101-150,0.4,0.009920037500000001,0.004600652784307916,48,48,144,True,regret_honest
dinov3_patch/whole_image,binary,deep 101-150,0.6,0.0014775529166666673,0.002405852854309255,48,48,144,False,regret_honest
dinov3_patch/whole_image,binary,deep 101-150,0.7,0.001127850416666667,0.0037437283715974555,48,48,144,False,regret_honest
dinov3_patch/whole_image,binary,early 1-25,0.3,-0.013404591835474308,0.004923733235475704,48,48,144,True,regret_honest
dinov3_patch/whole_image,binary,early 1-25,0.4,-0.009901474284283049,0.003957118231912398,48,48,144,True,regret_honest
dinov3_patch/whole_image,binary,early 1-25,0.6,0.004316786128952568,0.0039075200619058765,48,48,144,False,regret_honest
dinov3_patch/whole_image,binary,early 1-25,0.7,0.018905204394488357,0.005528314759718021,48,48,144,True,regret_honest
dinov3_patch/whole_image,binary,late 61-100,0.3,0.005471544791666667,0.002676437928932749,48,48,144,True,regret_honest
dinov3_patch/whole_image,binary,late 61-100,0.4,0.0009991171875000004,0.0026056315653707343,48,48,144,False,regret_honest
dinov3_patch/whole_image,binary,late 61-100,0.6,0.0004518078124999999,0.003028881794203575,48,48,144,False,regret_honest
dinov3_patch/whole_image,binary,late 61-100,0.7,0.0026398505208333326,0.0028919449391267013,48,48,144,False,regret_honest
dinov3_patch/whole_image,binary,mid 26-60,0.3,-0.00015197202380952402,0.003419680641171041,48,48,144,False,regret_honest
dinov3_patch/whole_image,binary,mid 26-60,0.4,-0.0015533785714285716,0.003705575332350482,48,48,144,False,regret_honest
dinov3_patch/whole_image,binary,mid 26-60,0.6,0.0011368065476190473,0.0036186886679082826,48,48,144,False,regret_honest
dinov3_patch/whole_image,binary,mid 26-60,0.7,0.002117904761904762,0.0033566677921861863,48,48,144,False,regret_honest
siglip/whole_image,binary,deep 101-150,0.3,-0.007825602083333333,0.00291410312459161,48,48,144,True,regret_honest
siglip/whole_image,binary,deep 101-150,0.4,-0.004626292083333333,0.00286730965769011,48,48,144,False,regret_honest
siglip/whole_image,binary,deep 101-150,0.6,0.0033117154166666675,0.0029282789159148686,48,48,144,False,regret_honest
siglip/whole_image,binary,deep 101-150,0.7,0.005313790416666668,0.0037115439770275148,48,48,144,False,regret_honest
siglip/whole_image,binary,early 1-25,0.3,-0.014260813244537767,0.0029615183622706902,48,48,144,True,regret_honest
siglip/whole_image,binary,early 1-25,0.4,-0.010491528728178523,0.0025602251035537365,48,48,144,True,regret_honest
siglip/whole_image,binary,early 1-25,0.6,0.010007293800779535,0.0028331755140184696,48,48,144,True,regret_honest
siglip/whole_image,binary,early 1-25,0.7,0.022981487277667984,0.0031886116794434217,48,48,144,True,regret_honest
siglip/whole_image,binary,late 61-100,0.3,-0.0049323229166666665,0.002945176190651173,48,48,144,False,regret_honest
siglip/whole_image,binary,late 61-100,0.4,-0.0019643640625,0.0033001262512734938,48,48,144,False,regret_honest
siglip/whole_image,binary,late 61-100,0.6,0.0063975875,0.0027932344683929485,48,48,144,True,regret_honest
siglip/whole_image,binary,late 61-100,0.7,0.008336772916666667,0.0036174262177538787,48,48,144,True,regret_honest
siglip/whole_image,binary,mid 26-60,0.3,-0.01008602738095238,0.0029338379610228363,48,48,144,True,regret_honest
siglip/whole_image,binary,mid 26-60,0.4,-0.008530926785714286,0.003475488133146243,48,48,144,True,regret_honest
siglip/whole_image,binary,mid 26-60,0.6,-0.000619539880952381,0.003150381417992595,48,48,144,False,regret_honest
siglip/whole_image,binary,mid 26-60,0.7,-0.0006631125000000002,0.003305088332968046,48,48,144,False,regret_honest
