tier,class_id,source,kind,n_positive,pool,n_pool,method,budget,floor,pos_inliers_median,neg_inliers_max,neg_over_floor,pos_over_floor,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,siglip,8192,24,157.5,16,0,28,,0.16344479424414085,2,0.06666666666666667,0.36666666666666664,0.5
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,sift,8192,24,157.5,16,0,28,,0.9941269841269841,1,0.3333333333333333,1.0,1.0
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,sift_siglip,8192,24,157.5,16,0,28,,0.9502893518518519,1,0.3333333333333333,0.9333333333333333,0.9666666666666667
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,vlad,8192,24,157.5,16,0,28,,0.010704624948260391,33,0.0,0.03333333333333333,0.03333333333333333
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,vlad100_sift,8192,24,157.5,16,0,28,0.03333333333333333,0.043027857271492706,1,0.03333333333333333,0.03333333333333333,0.03333333333333333
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,siglip100_sift,8192,24,157.5,16,0,28,0.5,0.5338770605400731,1,0.3333333333333333,0.5,0.5
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,vlad500_sift,8192,24,157.5,16,0,28,0.23333333333333334,0.23973370225767357,1,0.23333333333333334,0.23333333333333334,0.23333333333333334
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,siglip500_sift,8192,24,157.5,16,0,28,0.7666666666666667,0.773250177127052,1,0.3333333333333333,0.7666666666666667,0.7666666666666667
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,vlad1000_sift,8192,24,157.5,16,0,28,0.4,0.4042546909993068,1,0.3333333333333333,0.4,0.4
s,spods/logo_00003_0,spods,logo,30,own_verified,4998,siglip1000_sift,8192,24,157.5,16,0,28,0.9,0.9006415459357302,1,0.3333333333333333,0.9,0.9
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,siglip,8192,24,94.0,39,6,24,,0.466191738802859,1,0.26666666666666666,0.5333333333333333,0.5666666666666667
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,sift,8192,24,94.0,39,6,24,,0.8305643134995204,1,0.3333333333333333,0.8,0.9
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,sift_siglip,8192,24,94.0,39,6,24,,0.8384641674018353,1,0.3333333333333333,0.8666666666666667,0.8666666666666667
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,vlad,8192,24,94.0,39,6,24,,0.012305686416933359,43,0.0,0.03333333333333333,0.03333333333333333
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,vlad100_sift,8192,24,94.0,39,6,24,0.03333333333333333,0.04486382595181707,1,0.03333333333333333,0.03333333333333333,0.03333333333333333
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,siglip100_sift,8192,24,94.0,39,6,24,0.5666666666666667,0.5527397344375419,1,0.3333333333333333,0.5333333333333333,0.5666666666666667
s,spods/logo_00011_0,spods,logo,30,own_verified,4998,vlad500_sift,8192,24,94.0,39,6,24,0.23333333333333334,0.24006021110703904,1,0.23333333333333334,0.23333333333333334,0.23333333333333334
