embedder,arm,backend,proc_device,n,median,mean,se,p95,max,frac_identical,frac_above_1e6,text_query_max_delta
siglip,tv_cpu_rep,torchvision,cpu,4193,0.0,3.9452237221356625e-17,1.2303124856716409e-18,2.220446049250313e-16,4.440892098500626e-16,0.7677080849034105,0.0,0.0
siglip,pil_cpu,pil,cpu,4193,2.429470015608004e-06,5.339507068745457e-06,1.1232266247221186e-06,1.2815798030763044e-05,0.004693992694905003,0.0,0.8669210589077033,0.0
siglip,tv_cuda,torchvision,cuda,4193,0.00011707657828163853,0.00015937954374028922,2.6219645240159082e-06,0.000405040811095024,0.005543475615882532,0.0,1.0,0.0
siglip2_l,tv_cpu_rep,torchvision,cpu,4193,0.0,4.167639019222505e-17,1.2435270728459423e-18,2.220446049250313e-16,4.440892098500626e-16,0.7493441450035774,0.0,0.0
siglip2_l,pil_cpu,pil,cpu,4193,0.0001484136865548269,0.00021171002439764557,5.00304822801658e-06,0.0005508136159972911,0.011281156430680728,0.0,0.9978535654662533,0.0
siglip2_l,tv_cuda,torchvision,cuda,4193,5.4251293013507507e-08,1.993345941742352e-06,3.6845119013959227e-07,6.428594710139456e-06,0.0014145105289615767,0.030288576198425947,0.1698068208919628,0.0
