embedder,backend,device,processor_class,mode,pil_mode,size,corpus_ok,corpus_shape,corpus_max_abs_vs_rgb,direct_ok,direct_shape,direct_max_abs_vs_rgb,direct_error
siglip,torchvision,cuda,SiglipImageProcessor,CMYK,CMYK,"[637, 419]",True,"[1, 3, 224, 224]",0.0,True,"[1, 3, 224, 224]",0.0,
siglip,torchvision,cuda,SiglipImageProcessor,RGBA,RGBA,"[637, 419]",True,"[1, 3, 224, 224]",0.0,True,"[1, 3, 224, 224]",0.0,
siglip,torchvision,cuda,SiglipImageProcessor,I;16 (16-bit),I;16,"[637, 419]",True,"[1, 3, 224, 224]",1.0823529958724976,True,"[1, 3, 224, 224]",1.0823529958724976,
siglip,torchvision,cuda,SiglipImageProcessor,1 (bilevel),1,"[637, 419]",True,"[1, 3, 224, 224]",1.215686321258545,True,"[1, 3, 224, 224]",1.215686321258545,
siglip,torchvision,cuda,SiglipImageProcessor,EXIF orientation=6,RGB,"[637, 419]",True,"[1, 3, 224, 224]",0.5490196347236633,True,"[1, 3, 224, 224]",0.5490196347236633,
siglip,torchvision,cuda,SiglipImageProcessor,1x1,RGB,"[1, 1]",True,"[1, 3, 224, 224]",1.7098039388656616,True,"[1, 3, 224, 224]",1.7098039388656616,
siglip,torchvision,cuda,SiglipImageProcessor,3x900 (sliver),RGB,"[3, 900]",True,"[1, 3, 224, 224]",1.1686275005340576,True,"[1, 3, 224, 224]",1.1686275005340576,
siglip2_l,torchvision,cpu,SiglipImageProcessor,RGB (baseline),RGB,"[637, 419]",True,"[1, 3, 384, 384]",0.0,True,"[1, 3, 384, 384]",0.0,
siglip2_l,torchvision,cpu,SiglipImageProcessor,L (grayscale),L,"[637, 419]",True,"[1, 3, 384, 384]",1.3333333730697632,True,"[1, 3, 384, 384]",1.3333333730697632,
siglip2_l,torchvision,cpu,SiglipImageProcessor,LA (grayscale+alpha),LA,"[637, 419]",True,"[1, 3, 384, 384]",1.3333333730697632,False,,,ValueError: Unable to infer channel dimension format
siglip2_l,torchvision,cpu,SiglipImageProcessor,P (palette),P,"[637, 419]",True,"[1, 3, 384, 384]",0.6509803533554077,True,"[1, 3, 384, 384]",1.9607843160629272,
siglip2_l,torchvision,cpu,SiglipImageProcessor,PA (palette+alpha),PA,"[637, 419]",True,"[1, 3, 384, 384]",0.6509803533554077,False,,,ValueError: Unable to infer channel dimension format
siglip2_l,torchvision,cpu,SiglipImageProcessor,CMYK,CMYK,"[637, 419]",True,"[1, 3, 384, 384]",0.0,False,,,ValueError: Unable to infer channel dimension format
siglip2_l,torchvision,cpu,SiglipImageProcessor,RGBA,RGBA,"[637, 419]",True,"[1, 3, 384, 384]",0.0,False,,,ValueError: Unable to infer channel dimension format
siglip2_l,torchvision,cpu,SiglipImageProcessor,I;16 (16-bit),I;16,"[637, 419]",True,"[1, 3, 384, 384]",1.3333333730697632,True,"[1, 3, 384, 384]",1.3333333730697632,
siglip2_l,torchvision,cpu,SiglipImageProcessor,1 (bilevel),1,"[637, 419]",True,"[1, 3, 384, 384]",1.8039215803146362,True,"[1, 3, 384, 384]",1.9921568632125854,
siglip2_l,torchvision,cpu,SiglipImageProcessor,EXIF orientation=6,RGB,"[637, 419]",True,"[1, 3, 384, 384]",0.9490196704864502,True,"[1, 3, 384, 384]",0.9490196704864502,
siglip2_l,torchvision,cpu,SiglipImageProcessor,1x1,RGB,"[1, 1]",True,"[1, 3, 384, 384]",1.686274528503418,True,"[1, 3, 384, 384]",1.686274528503418,
siglip2_l,torchvision,cpu,SiglipImageProcessor,3x900 (sliver),RGB,"[3, 900]",True,"[1, 3, 384, 384]",1.2862745523452759,True,"[1, 3, 384, 384]",1.2862745523452759,
siglip2_l,pil,cpu,SiglipImageProcessorPil,RGB (baseline),RGB,"[637, 419]",True,"[1, 3, 384, 384]",0.0,True,"[1, 3, 384, 384]",0.0,
siglip2_l,pil,cpu,SiglipImageProcessorPil,L (grayscale),L,"[637, 419]",True,"[1, 3, 384, 384]",1.3333333730697632,False,,,"ValueError: mean must have 1 elements if it is an iterable, got 3"
siglip2_l,pil,cpu,SiglipImageProcessorPil,LA (grayscale+alpha),LA,"[637, 419]",True,"[1, 3, 384, 384]",1.3333333730697632,False,,,"ValueError: mean must have 2 elements if it is an iterable, got 3"
siglip2_l,pil,cpu,SiglipImageProcessorPil,P (palette),P,"[637, 419]",True,"[1, 3, 384, 384]",0.6509804129600525,False,,,"ValueError: mean must have 1 elements if it is an iterable, got 3"
siglip2_l,pil,cpu,SiglipImageProcessorPil,PA (palette+alpha),PA,"[637, 419]",True,"[1, 3, 384, 384]",0.6509804129600525,False,,,"ValueError: mean must have 2 elements if it is an iterable, got 3"
siglip2_l,pil,cpu,SiglipImageProcessorPil,CMYK,CMYK,"[637, 419]",True,"[1, 3, 384, 384]",0.0,False,,,"ValueError: mean must have 4 elements if it is an iterable, got 3"
siglip2_l,pil,cpu,SiglipImageProcessorPil,RGBA,RGBA,"[637, 419]",True,"[1, 3, 384, 384]",0.0,False,,,"ValueError: mean must have 4 elements if it is an iterable, got 3"
siglip2_l,pil,cpu,SiglipImageProcessorPil,I;16 (16-bit),I;16,"[637, 419]",True,"[1, 3, 384, 384]",1.3333333730697632,False,,,"ValueError: mean must have 1 elements if it is an iterable, got 3"
