embedder,arm,n,n_published,median,max,frac_identical,note
siglip,tv_cpu,4193,4193,7.573941473992818e-13,4.761957494991975e-10,0.0,
siglip,tv_cpu_rep,4193,4193,7.573941473992818e-13,4.761957494991975e-10,0.0,
siglip,pil_cpu,4193,4193,2.428867704629134e-06,0.004693915936698545,0.0,
siglip,tv_cuda,4193,4193,0.00011707531183002828,0.005543454690375982,0.0,
siglip2_l,tv_cpu,4193,4193,2.726374681571997e-12,1.614752109801998e-09,0.0,
siglip2_l,tv_cpu_rep,4193,4193,2.726374681571997e-12,1.614752109801998e-09,0.0,
siglip2_l,pil_cpu,4193,4193,0.00014841579945690242,0.011281639159678836,0.0,
siglip2_l,tv_cuda,4193,4193,5.4265474447312556e-08,0.0014144637385653525,0.0,
