t,C,test_oracle_cost,test_ap,test_auroc,train_auroc,active_frac,wnorm,app_auroc,cv_auroc,ds
5,0.001,0.3598,0.4678,0.8447,1.0,1.0,0.0035,0.8416,0.8416,all
5,0.003,0.3598,0.4678,0.8447,1.0,1.0,0.0104,0.8416,0.8416,all
5,0.01,0.3598,0.4678,0.8448,1.0,1.0,0.0344,0.8416,0.8427,all
5,0.03,0.3597,0.4676,0.8449,1.0,1.0,0.1006,0.8416,0.8427,all
5,0.1,0.3595,0.4674,0.845,1.0,1.0,0.3085,0.8416,0.8427,all
5,0.3,0.3593,0.4671,0.8449,1.0,1.0,0.7562,0.8416,0.8427,all
5,1.0,0.3599,0.4664,0.8445,1.0,1.0,1.5535,0.8416,0.8427,all
5,3.0,0.3611,0.4659,0.8437,1.0,1.0,2.2547,0.8427,0.8438,all
5,10.0,0.3628,0.4657,0.8428,1.0,1.0,2.7092,0.8427,0.8449,all
5,30.0,0.3636,0.4656,0.8423,1.0,0.9996,2.8879,0.8449,0.8449,all
10,0.001,0.2929,0.5404,0.8843,0.9996,1.0,0.0053,0.8321,0.8393,all
10,0.003,0.293,0.5403,0.8842,0.9997,1.0,0.0157,0.8321,0.8393,all
10,0.01,0.2934,0.54,0.884,0.9997,1.0,0.0517,0.8316,0.8393,all
10,0.03,0.294,0.5397,0.8837,0.9998,1.0,0.1498,0.8311,0.8386,all
10,0.1,0.2947,0.5391,0.8834,0.9999,1.0,0.4521,0.8305,0.8383,all
10,0.3,0.2954,0.5391,0.883,1.0,1.0,1.0809,0.8337,0.8381,all
10,1.0,0.2977,0.538,0.8818,1.0,1.0,2.1552,0.8347,0.8349,all
10,3.0,0.3022,0.5344,0.8794,1.0,1.0,3.0935,0.8321,0.8327,all
10,10.0,0.3074,0.5294,0.8766,1.0,0.9942,3.729,0.8321,0.8327,all
10,30.0,0.3105,0.5269,0.875,1.0,0.9894,3.9924,0.8321,0.8311,all
15,0.001,0.271,0.5698,0.8956,0.9995,1.0,0.0069,0.7945,0.7943,all
