scope,contrast,mean,se,n
all,pen(t=150) - pen(t=20),0.003529430007860824,0.001954469503636515,480
caltech101_m,pen(t=150) - pen(t=20),5.307855626326833e-05,5.3078556263268326e-05,60
coco_val,pen(t=150) - pen(t=20),-0.004482964799838624,0.002370766672652185,190
visual_genome_m,pen(t=150) - pen(t=20),0.011055239140724949,0.0032411312568198223,230
