arm,scope,sessions,stopped,median_t_stop,cost_final_minus_stop,cost_se,cost_share_worse_0.02,oracle_cost_final_minus_stop,oracle_cost_se,oracle_cost_share_worse_0.02
svm,all,480,464,64.0,-0.020206265086206897,0.006830954780571055,0.29310344827586204,-0.03566997844827586,0.0035923220627519024,0.034482758620689655
svm,caltech101_m,60,44,44.0,-0.011293181818181819,0.0038833937954559834,0.0,0.0,0.0,0.0
svm,coco_val,190,190,71.5,-0.02257875263157895,0.009625524641341754,0.2894736842105263,-0.02739616315789474,0.004710701987382775,0.02631578947368421
svm,visual_genome_m,230,230,63.0,-0.019951495652173915,0.011324400108712695,0.3521739130434783,-0.04932869130434782,0.005279958652929553,0.04782608695652174
svmc01,all,480,470,64.0,-0.022799831914893615,0.00877547083823526,0.26382978723404255,-0.038953814893617,0.004087464380186078,0.03404255319148936
svmc01,caltech101_m,60,50,49.0,-0.00813288,0.00464129125103788,0.12,0.0,0.0,0.0
svmc01,coco_val,190,190,70.0,-0.03165696315789474,0.011816291238133962,0.23157894736842105,-0.026445542105263162,0.00399099188157529,0.021052631578947368
svmc01,visual_genome_m,230,230,64.0,-0.018671539130434775,0.015055591870373634,0.3217391304347826,-0.05775495652173915,0.006483956588913479,0.05217391304347826
