scope,t,penalty,se,n,mean_goods
all,5,0.0006163083782054315,0.00041339104280333356,473,3.0126849894291756
all,10,0.004501467862291858,0.0012260367769173811,480,3.5875
all,15,0.00376688710188977,0.0015232498486626722,480,4.377083333333333
all,20,0.004168135280876765,0.0017658552653048187,480,5.28125
all,30,0.004336677727338116,0.0016734386955064295,480,6.814583333333333
all,40,0.004368359410317266,0.0014678418224575095,480,8.48125
all,60,0.006116560520621694,0.0014382258214768208,480,11.175
all,80,0.0074916654749147505,0.0016201872231068027,480,14.379166666666666
all,100,0.006179539838164486,0.0012693669477570986,480,17.920833333333334
all,120,0.007474866405656557,0.001656090002495226,480,21.472916666666666
all,150,0.0076975652887375885,0.0016782895122738131,480,26.3875
caltech,5,0.00020789973916065423,0.0003684441838875527,57,3.1578947368421053
caltech,10,-0.0005938268960639635,0.0004904503199458098,60,4.666666666666667
caltech,15,-0.0003058373122067384,0.00026432927234343594,60,6.066666666666666
caltech,20,-5.307855626326833e-05,5.3078556263268326e-05,60,6.733333333333333
caltech,30,0.0,0.0,60,6.933333333333334
caltech,40,0.0,0.0,60,7.216666666666667
caltech,60,0.0,0.0,60,7.283333333333333
caltech,80,0.0,0.0,60,7.3
caltech,100,0.0,0.0,60,7.3
caltech,120,0.0,0.0,60,7.3
caltech,150,0.0,0.0,60,7.3
coco,5,0.0007395282679268938,0.000373365049297203,189,3.0105820105820107
coco,10,0.004516780503249083,0.0017736663124163323,190,3.3789473684210525
coco,15,0.0032443224817861075,0.0022166815183710456,190,4.157894736842105
coco,20,0.0032612124888996776,0.0020235598967097822,190,5.321052631578947
coco,30,0.0006381722127958866,0.0014892841032922112,190,7.468421052631579
coco,40,0.00034219616053485967,0.0013614929512342853,190,9.715789473684211
coco,60,-0.00025601126116967757,0.001391242644745151,190,13.210526315789474
coco,80,-0.0005142498586136456,0.001522378820694235,190,17.4
coco,100,-0.0004685414441331266,0.001274632705332143,190,21.92105263157895
coco,120,-0.0006577493009010853,0.0015304966669105126,190,26.03684210526316
coco,150,-0.0012217523109389462,0.0018949471390383105,190,31.74736842105263
vg,5,0.0006162675555983653,0.000803224808499967,227,2.9779735682819384
vg,10,0.005818025617593932,0.0020691795705825955,230,3.4782608695652173
vg,15,0.005261020765652754,0.002594222422254876,230,4.1173913043478265
vg,20,0.0060185185882856715,0.0032806091270135376,230,4.869565217391305
vg,30,0.008523272124743813,0.0031751914237606537,230,6.243478260869566
vg,40,0.008833892375872452,0.0027170136470107973,230,7.791304347826087
vg,60,0.012976483432698487,0.002406358401894693,230,10.508695652173913
vg,80,0.0160595952221551,0.00261872952310473,230,13.730434782608695
vg,100,0.01328348694219238,0.001959925823286479,230,17.38695652173913
vg,120,0.016143079312549363,0.0026990116366029954,230,21.4
vg,150,0.017073757729010618,0.0024926086249549353,230,26.93913043478261
