t,C,test_oracle_cost,test_ap,test_auroc,train_auroc,active_frac,wnorm,app_auroc,cv_auroc,ds
100,0.03,0.1284,0.7674,0.965,0.9895,1.0,0.7576,0.8629,0.8734,coco
100,0.1,0.126,0.7735,0.966,0.9944,1.0,1.8914,0.8672,0.8794,coco
100,0.3,0.1235,0.7796,0.9668,0.9987,0.9983,3.4897,0.8768,0.8913,coco
100,1.0,0.1243,0.7822,0.9663,0.9999,0.9208,5.4599,0.8928,0.905,coco
100,3.0,0.1282,0.7801,0.9647,1.0,0.7774,7.1662,0.902,0.9139,coco
100,10.0,0.1336,0.7752,0.9629,1.0,0.6619,8.6083,0.9045,0.9166,coco
100,30.0,0.1365,0.7718,0.9619,1.0,0.6065,9.3626,0.9045,0.9164,coco
120,0.001,0.1287,0.7614,0.9643,0.9801,1.0,0.0347,0.8684,0.8671,coco
120,0.003,0.1289,0.7623,0.9642,0.9806,1.0,0.1016,0.8677,0.8665,coco
120,0.01,0.1288,0.7641,0.9643,0.9821,1.0,0.3201,0.8685,0.8666,coco
120,0.03,0.1276,0.768,0.965,0.9855,1.0,0.8487,0.8708,0.8687,coco
120,0.1,0.1245,0.7762,0.9663,0.9923,1.0,2.078,0.877,0.8756,coco
120,0.3,0.1225,0.7841,0.9673,0.9978,0.9956,3.7701,0.8863,0.8866,coco
120,1.0,0.1239,0.787,0.9669,0.9998,0.8977,5.8759,0.8991,0.9015,coco
120,3.0,0.1296,0.7841,0.965,1.0,0.7521,7.7688,0.9067,0.9104,coco
120,10.0,0.1349,0.7786,0.963,1.0,0.6329,9.4414,0.9091,0.9135,coco
120,30.0,0.1384,0.7752,0.9619,1.0,0.5725,10.3607,0.9093,0.9136,coco
150,0.001,0.1269,0.7702,0.9646,0.9716,1.0,0.0407,0.8741,0.8702,coco
150,0.003,0.127,0.771,0.9646,0.9722,1.0,0.1188,0.874,0.8701,coco
150,0.01,0.1263,0.7733,0.9648,0.9742,1.0,0.3723,0.8748,0.8714,coco
150,0.03,0.1242,0.7782,0.9658,0.9788,1.0,0.9735,0.8778,0.8748,coco
150,0.1,0.1199,0.7875,0.9676,0.9883,1.0,2.3239,0.8854,0.8836,coco
150,0.3,0.1169,0.7956,0.969,0.9961,0.9914,4.1315,0.8979,0.8968,coco
150,1.0,0.1187,0.7981,0.9684,0.9995,0.8745,6.4251,0.9094,0.9091,coco
150,3.0,0.1257,0.7945,0.9664,1.0,0.7264,8.6147,0.915,0.9152,coco
150,10.0,0.1328,0.7876,0.9641,1.0,0.5933,10.6986,0.9157,0.9168,coco
150,30.0,0.1368,0.7825,0.9627,1.0,0.5325,11.9232,0.9149,0.916,coco
5,0.001,0.5445,0.2446,0.7477,1.0,1.0,0.0033,0.6905,0.694,vg
5,0.003,0.5445,0.2446,0.7477,1.0,1.0,0.0099,0.6905,0.694,vg
5,0.01,0.5443,0.2446,0.7478,1.0,1.0,0.0329,0.6905,0.6964,vg
5,0.03,0.544,0.2446,0.748,1.0,1.0,0.0962,0.6905,0.6964,vg
5,0.1,0.5432,0.2443,0.7483,1.0,1.0,0.2967,0.6905,0.6964,vg
5,0.3,0.5425,0.2437,0.7484,1.0,1.0,0.7364,0.6905,0.6964,vg
5,1.0,0.5431,0.2419,0.7477,1.0,1.0,1.5504,0.6905,0.6964,vg
5,3.0,0.5448,0.2402,0.7464,1.0,1.0,2.3096,0.6929,0.6988,vg
5,10.0,0.5477,0.2393,0.7449,1.0,1.0,2.8347,0.6929,0.7012,vg
5,30.0,0.5493,0.2391,0.7441,1.0,1.0,3.0526,0.6976,0.7012,vg
10,0.001,0.4569,0.3192,0.8046,0.9995,1.0,0.0049,0.6725,0.6746,vg
10,0.003,0.4569,0.3191,0.8045,0.9995,1.0,0.0148,0.6736,0.6746,vg
10,0.01,0.4574,0.3187,0.8043,0.9996,1.0,0.0487,0.6725,0.6751,vg
10,0.03,0.4585,0.3181,0.8039,0.9998,1.0,0.1418,0.6736,0.6744,vg
10,0.1,0.4597,0.3175,0.8034,0.9998,1.0,0.4316,0.6736,0.6758,vg
10,0.3,0.4603,0.3171,0.8029,1.0,1.0,1.0502,0.6714,0.6718,vg
10,1.0,0.4627,0.3145,0.8012,1.0,1.0,2.1621,0.6769,0.6709,vg
10,3.0,0.4691,0.3081,0.7977,1.0,0.9996,3.2026,0.6747,0.6715,vg
10,10.0,0.4779,0.2995,0.7933,1.0,0.9948,3.9583,0.6714,0.6703,vg
10,30.0,0.4827,0.2953,0.7906,1.0,0.9922,4.2897,0.6703,0.6682,vg
15,0.001,0.4312,0.3436,0.8225,0.9987,1.0,0.0065,0.6514,0.6404,vg
15,0.003,0.4315,0.3435,0.8224,0.9988,1.0,0.0194,0.6514,0.6405,vg
15,0.01,0.4317,0.3433,0.8222,0.9988,1.0,0.0636,0.6505,0.6389,vg
15,0.03,0.4322,0.3432,0.822,0.9989,1.0,0.184,0.6502,0.6387,vg
15,0.1,0.4323,0.3435,0.8219,0.9992,1.0,0.5523,0.6538,0.6391,vg
15,0.3,0.432,0.3444,0.8217,0.9996,1.0,1.3121,0.6554,0.6407,vg
15,1.0,0.4365,0.3429,0.8195,0.9999,1.0,2.6126,0.6525,0.6467,vg
15,3.0,0.4455,0.3356,0.8148,1.0,0.9959,3.7904,0.6554,0.6483,vg
15,10.0,0.455,0.3264,0.8093,1.0,0.9771,4.649,0.6545,0.6457,vg
15,30.0,0.4606,0.3205,0.8061,1.0,0.9641,5.0329,0.6542,0.647,vg
20,0.001,0.4215,0.357,0.8274,0.9972,1.0,0.0079,0.6254,0.6326,vg
20,0.003,0.4217,0.3568,0.8273,0.9974,1.0,0.0236,0.624,0.6332,vg
20,0.01,0.4222,0.3567,0.827,0.9976,1.0,0.0773,0.6216,0.6318,vg
20,0.03,0.4226,0.3567,0.8268,0.9979,1.0,0.2223,0.6197,0.632,vg
20,0.1,0.4223,0.3575,0.8268,0.9986,1.0,0.6594,0.6223,0.6317,vg
20,0.3,0.4225,0.3587,0.8265,0.9993,1.0,1.5347,0.6244,0.6338,vg
20,1.0,0.4275,0.3577,0.8236,1.0,0.9998,2.9791,0.6318,0.6398,vg
20,3.0,0.4372,0.351,0.8181,1.0,0.9843,4.2614,0.639,0.6468,vg
20,10.0,0.4482,0.342,0.8122,1.0,0.952,5.2018,0.6431,0.6496,vg
20,30.0,0.4536,0.3358,0.8092,1.0,0.9298,5.6276,0.645,0.6498,vg
30,0.001,0.3993,0.38,0.8392,0.9957,1.0,0.0106,0.5954,0.6188,vg
30,0.003,0.3994,0.3802,0.8391,0.9958,1.0,0.0314,0.5966,0.6185,vg
30,0.01,0.3998,0.3801,0.8388,0.996,1.0,0.1024,0.5954,0.6159,vg
30,0.03,0.4001,0.3801,0.8386,0.9966,1.0,0.2922,0.5944,0.6154,vg
30,0.1,0.4003,0.3808,0.8387,0.9981,1.0,0.8491,0.5965,0.6161,vg
30,0.3,0.4011,0.3816,0.8381,0.9992,1.0,1.9105,0.6036,0.6235,vg
30,1.0,0.408,0.378,0.8343,0.9999,0.9968,3.5641,0.6182,0.6385,vg
30,3.0,0.4179,0.3704,0.828,1.0,0.9587,4.9965,0.6329,0.6557,vg
30,10.0,0.4281,0.3609,0.8222,1.0,0.9058,6.0619,0.6419,0.6663,vg
30,30.0,0.4342,0.3546,0.8192,1.0,0.8791,6.561,0.646,0.6712,vg
40,0.001,0.3828,0.3939,0.8493,0.9923,1.0,0.013,0.6145,0.6312,vg
40,0.003,0.383,0.3938,0.8492,0.9924,1.0,0.0386,0.6141,0.6304,vg
40,0.01,0.3835,0.3938,0.849,0.9929,1.0,0.1254,0.614,0.6307,vg
40,0.03,0.3834,0.3946,0.849,0.9943,1.0,0.3554,0.614,0.6314,vg
40,0.1,0.3826,0.3957,0.8493,0.9966,1.0,1.0138,0.6181,0.6347,vg
40,0.3,0.3842,0.397,0.8484,0.9987,1.0,2.2194,0.6268,0.6406,vg
40,1.0,0.3925,0.393,0.8436,0.9998,0.9914,4.0294,0.6419,0.6608,vg
40,3.0,0.4038,0.3855,0.8369,1.0,0.9367,5.6006,0.6581,0.6792,vg
40,10.0,0.4153,0.3754,0.8307,1.0,0.8714,6.8167,0.6724,0.6932,vg
40,30.0,0.4215,0.369,0.8275,1.0,0.8349,7.412,0.6751,0.6961,vg
60,0.001,0.352,0.4096,0.8652,0.9848,1.0,0.0179,0.6571,0.668,vg
60,0.003,0.3519,0.4098,0.8651,0.9851,1.0,0.0529,0.6554,0.668,vg
60,0.01,0.352,0.4102,0.8652,0.9862,1.0,0.1707,0.6544,0.6662,vg
60,0.03,0.3518,0.4115,0.8655,0.9887,1.0,0.4763,0.6541,0.667,vg
60,0.1,0.3511,0.4143,0.8658,0.9934,1.0,1.3086,0.6578,0.6716,vg
60,0.3,0.3547,0.4149,0.8641,0.9976,0.9999,2.7262,0.6708,0.6831,vg
60,1.0,0.3641,0.4101,0.8577,0.9997,0.9741,4.7422,0.6927,0.7061,vg
60,3.0,0.3798,0.4013,0.8496,1.0,0.8926,6.514,0.7088,0.7265,vg
60,10.0,0.3945,0.3913,0.8425,1.0,0.7933,7.97,0.7163,0.7359,vg
60,30.0,0.4021,0.3847,0.8386,1.0,0.7454,8.7267,0.718,0.7387,vg
80,0.001,0.3409,0.4191,0.8711,0.9785,1.0,0.0216,0.653,0.6636,vg
80,0.003,0.3408,0.4194,0.8712,0.9788,1.0,0.0639,0.6518,0.6623,vg
80,0.01,0.3404,0.42,0.8714,0.9802,1.0,0.2052,0.6513,0.6624,vg
80,0.03,0.3392,0.4219,0.8719,0.9835,1.0,0.5675,0.6519,0.6646,vg
80,0.1,0.3381,0.4253,0.8723,0.9898,1.0,1.5285,0.6596,0.6741,vg
80,0.3,0.3418,0.4264,0.8702,0.996,0.9996,3.1207,0.6734,0.6909,vg
80,1.0,0.3542,0.4214,0.863,0.9994,0.9583,5.3798,0.697,0.7178,vg
80,3.0,0.3706,0.4113,0.8547,1.0,0.847,7.4404,0.7193,0.74,vg
80,10.0,0.3841,0.3995,0.8478,1.0,0.7407,9.2221,0.7289,0.7516,vg
80,30.0,0.3921,0.3914,0.844,1.0,0.6923,10.19,0.7303,0.7534,vg
100,0.001,0.3417,0.4222,0.8722,0.9679,1.0,0.0252,0.6544,0.6727,vg
100,0.003,0.3417,0.4224,0.8723,0.9686,1.0,0.0742,0.6538,0.6719,vg
100,0.01,0.3406,0.4235,0.8726,0.9706,1.0,0.2371,0.653,0.6717,vg
100,0.03,0.3387,0.4265,0.8737,0.9756,1.0,0.649,0.6551,0.6748,vg
100,0.1,0.3352,0.4314,0.8747,0.985,1.0,1.713,0.6629,0.6848,vg
100,0.3,0.3368,0.4334,0.8727,0.994,0.9984,3.4377,0.6821,0.7024,vg
100,1.0,0.3498,0.4275,0.8651,0.999,0.9414,5.9126,0.7096,0.7295,vg
100,3.0,0.3662,0.4175,0.8568,1.0,0.8188,8.2813,0.7317,0.752,vg
100,10.0,0.3795,0.4057,0.8499,1.0,0.7111,10.4526,0.7411,0.7621,vg
100,30.0,0.3872,0.3968,0.8461,1.0,0.656,11.6959,0.742,0.7634,vg
120,0.001,0.3346,0.4288,0.8749,0.958,1.0,0.0282,0.6835,0.6772,vg
120,0.003,0.3345,0.4296,0.875,0.9589,1.0,0.0831,0.6827,0.6768,vg
120,0.01,0.3334,0.4313,0.8757,0.9617,1.0,0.2647,0.6827,0.6771,vg
120,0.03,0.3306,0.4349,0.877,0.9683,1.0,0.7183,0.6853,0.6798,vg
120,0.1,0.3258,0.44,0.8783,0.9805,1.0,1.8681,0.6954,0.6898,vg
120,0.3,0.3291,0.4422,0.8763,0.9916,0.9976,3.712,0.7107,0.7088,vg
120,1.0,0.342,0.4356,0.8685,0.9985,0.929,6.4058,0.7318,0.7353,vg
120,3.0,0.358,0.4253,0.86,0.9999,0.7989,9.0995,0.7503,0.7542,vg
120,10.0,0.3734,0.4125,0.8529,1.0,0.6815,11.7113,0.7551,0.7625,vg
120,30.0,0.3834,0.403,0.8486,1.0,0.6263,13.2878,0.7553,0.7622,vg
150,0.001,0.3307,0.4341,0.8774,0.9457,1.0,0.0326,0.6788,0.6814,vg
150,0.003,0.3305,0.4347,0.8777,0.947,1.0,0.0959,0.6787,0.6809,vg
150,0.01,0.3292,0.4366,0.8786,0.9507,1.0,0.3036,0.6789,0.6817,vg
150,0.03,0.3255,0.4417,0.8803,0.9595,1.0,0.8137,0.6823,0.6863,vg
150,0.1,0.3203,0.4485,0.8819,0.9751,1.0,2.0742,0.6927,0.6984,vg
150,0.3,0.3233,0.45,0.8795,0.9891,0.9946,4.0698,0.7094,0.7163,vg
150,1.0,0.3374,0.4438,0.8715,0.9977,0.9106,7.0541,0.7318,0.7438,vg
150,3.0,0.3529,0.433,0.8634,0.9999,0.7708,10.195,0.7467,0.7635,vg
150,10.0,0.3688,0.4197,0.8565,1.0,0.6532,13.4243,0.7524,0.7722,vg
150,30.0,0.3794,0.41,0.8522,1.0,0.5949,15.4889,0.7529,0.7712,vg
