C,scope,n_sessions,share_worse_0.02,share_worse_0.05,median_last_minus_best
C=1,all,480,0.26875,0.09166666666666666,0.0021866500763963043
C=1,caltech101_m,60,0.0,0.0,0.0
C=1,coco_val,190,0.18947368421052632,0.04736842105263158,0.002563670526806002
C=1,visual_genome_m,230,0.4043478260869565,0.15217391304347827,0.011795530779765293
C*(t),all,480,0.23958333333333334,0.0875,0.0012639170952098433
C*(t),caltech101_m,60,0.0,0.0,0.0
C*(t),coco_val,190,0.1631578947368421,0.04736842105263158,0.0024635473314991536
C*(t),visual_genome_m,230,0.3652173913043478,0.14347826086956522,0.009261962683695377
