scope,t,penalty,se,n,mean_goods
all,5,0.0006278321282109714,0.00041388333142696826,473,3.0126849894291756
all,10,0.004798376793149451,0.0013912216390967653,480,3.6645833333333333
all,15,0.004244866780268734,0.0014015140423543585,480,4.454166666666667
all,20,0.004702131724714096,0.0014527232383718728,480,5.295833333333333
all,30,0.005660241316678542,0.0017318869525543479,480,6.883333333333334
all,40,0.004449791310371722,0.0013799260681294746,480,8.366666666666667
all,60,0.006992934290826098,0.0015411673803341014,480,11.060416666666667
all,80,0.00813595813157595,0.0016648722941600322,480,14.264583333333333
all,100,0.00744256469327936,0.00169895601576812,480,18.052083333333332
all,120,0.007213388120614521,0.001515522318023337,480,21.664583333333333
all,150,0.008065535347075584,0.001144164434922945,480,26.772916666666667
all,200,0.008178612907469214,0.0011953716239455465,480,34.6
all,250,0.008232919111444229,0.0012431986839375653,480,41.05
all,300,0.008691813446515179,0.001305124271684672,480,46.395833333333336
all,350,0.009265894337981617,0.0013628018021651527,480,52.01875
all,400,0.009066968855013697,0.0016261853497648716,480,57.35
caltech,5,0.00020789973916065423,0.0003684441838875527,57,3.1578947368421053
caltech,10,-0.0005938268960639635,0.0004904503199458098,60,4.65
caltech,15,-0.0003058373122067384,0.00026432927234343594,60,6.083333333333333
caltech,20,-5.307855626326833e-05,5.3078556263268326e-05,60,6.8
caltech,30,0.0,0.0,60,7.016666666666667
caltech,40,0.0,0.0,60,7.3
caltech,60,0.0,0.0,60,7.366666666666666
caltech,80,0.0,0.0,60,7.383333333333334
caltech,100,0.0,0.0,60,7.383333333333334
caltech,120,0.0,0.0,60,7.383333333333334
caltech,150,0.0,0.0,60,7.383333333333334
caltech,200,0.0,0.0,60,7.383333333333334
caltech,250,0.0,0.0,60,7.383333333333334
caltech,300,0.0,0.0,60,7.4
caltech,350,0.0,0.0,60,12.966666666666667
caltech,400,0.0,0.0,60,21.516666666666666
coco,5,0.0007683681290518694,0.0003765635356921709,189,3.0105820105820107
coco,10,0.0038539995487064035,0.0019044292684968036,190,3.4789473684210526
coco,15,0.0021915892821640953,0.002043211290040694,190,4.231578947368421
coco,20,0.0016267950344796527,0.0018563659830708415,190,5.294736842105263
coco,30,-4.7487662592297525e-05,0.0018971271282612588,190,7.510526315789473
coco,40,-0.0002766691865503582,0.0016380967659322715,190,9.552631578947368
coco,60,-0.0002892754964908381,0.0014900732891253018,190,13.063157894736841
coco,80,-0.0006380677856675351,0.0015239414707979427,190,17.33684210526316
coco,100,-0.0006391168192442771,0.0016768921153017518,190,22.310526315789474
coco,120,5.260281641599881e-05,0.0016697818800406228,190,26.44736842105263
coco,150,0.0015468171071380827,0.001136039700329999,190,32.32105263157895
coco,200,0.0015766814713963663,0.0011182747562932588,190,41.036842105263155
coco,250,0.001191892221435599,0.0010102567919732539,190,46.85263157894737
coco,300,0.0019248794029581076,0.000938278298139015,190,49.873684210526314
coco,350,0.002778051530073167,0.0008856976798500409,190,53.04736842105263
coco,400,0.0010798609556274973,0.0015048863683331012,190,55.60526315789474
vg,5,0.0006162675555983653,0.000803224808499967,227,2.9779735682819384
vg,10,0.006985176348788508,0.002399462297731499,230,3.5608695652173914
vg,15,0.007128192737609642,0.0023306276202891075,230,4.21304347826087
vg,20,0.008483116889945344,0.002516896052125501,230,4.904347826086957
vg,30,0.011851906469122769,0.003022346863746543,230,6.3304347826086955
vg,40,0.009515073801839108,0.0023391985819981426,230,7.665217391304348
vg,60,0.014832916538825161,0.0025166736368535253,230,10.369565217391305
vg,80,0.0175064903584056,0.0026241820973858993,230,13.521739130434783
vg,100,0.01606027499317611,0.002763461413994354,230,17.317391304347826
vg,120,0.01501057288163448,0.002373075923060281,230,21.43913043478261
vg,150,0.01555461615756541,0.0015771885133724181,230,27.247826086956522
vg,200,0.015765933547912666,0.0017259604891248666,230,36.38260869565217
vg,250,0.01619713761487159,0.001844874920495896,230,45.03913043478261
vg,300,0.016549318990283675,0.0020630225900678165,230,53.69565217391305
vg,350,0.01704260648485772,0.0022439655850636734,230,61.356521739130436
vg,400,0.01803031073407543,0.0025845234666906163,230,68.13913043478261
