schedule,minus,mean,se,n_sessions,c0_half012,c0_half34
fixed,C=1,-0.005909199875939286,0.0009836116901539712,480,0.05623413251903491,0.1778279410038923
fixed,C*(t),0.0007094439624542883,0.0002294892133217259,480,0.05623413251903491,0.1778279410038923
votes^-0.5,C=1,-0.0055824435292769255,0.0011119034579818198,480,1.7782794100389228,1.7782794100389228
votes^-0.5,fixed C*,0.00032675634666236053,0.0002362019398220715,480,1.7782794100389228,1.7782794100389228
votes^-0.5,C*(t),0.0010362003091166489,0.0003186562685995699,480,1.7782794100389228,1.7782794100389228
votes^-1,C=1,-0.0038552804145256425,0.0008899485475747769,480,31.622776601683793,31.622776601683793
votes^-1,fixed C*,0.002053919461413644,0.0003407386255457086,480,31.622776601683793,31.622776601683793
votes^-1,C*(t),0.0027633634238679317,0.00048167549454340827,480,31.622776601683793,31.622776601683793
goods^-0.5,C=1,-0.005537001309782278,0.0011654805982485865,480,0.5623413251903491,0.5623413251903491
goods^-0.5,fixed C*,0.00037219856615700796,0.000282406371603269,480,0.5623413251903491,0.5623413251903491
goods^-0.5,C*(t),0.0010816425286112963,0.00032609004508980403,480,0.5623413251903491,0.5623413251903491
goods^-1,C=1,-0.003350657729558552,0.0011661592721864747,480,3.1622776601683795,3.1622776601683795
goods^-1,fixed C*,0.002558542146380734,0.0004928649854342879,480,3.1622776601683795,3.1622776601683795
goods^-1,C*(t),0.0032679861088350222,0.0005803559411814272,480,3.1622776601683795,3.1622776601683795
