C,scope,n_sessions,share_worse_0.02,share_worse_0.05,median_last_minus_best
C=1,all,480,0.17291666666666666,0.05,0.0012373685822190486
C=1,caltech101_m,60,0.0,0.0,0.0
C=1,coco_val,190,0.10526315789473684,0.02631578947368421,0.0012690325206736013
C=1,visual_genome_m,230,0.27391304347826084,0.08260869565217391,0.00560468848430945
C*(t),all,480,0.15,0.04375,0.001576997342922451
C*(t),caltech101_m,60,0.0,0.0,0.0
C*(t),coco_val,190,0.1,0.005263157894736842,0.0024655896492854507
C*(t),visual_genome_m,230,0.23043478260869565,0.08695652173913043,0.0043729135064986685
