schedule,minus,mean,se,n_sessions,c0_half012,c0_half34
fixed,C=1,-0.004826407332834427,0.0010326677822605644,480,0.05623413251903491,0.05623413251903491
fixed,C*(t),0.0003381097570351191,0.00020404049630061611,480,0.05623413251903491,0.05623413251903491
votes^-0.5,C=1,-0.00475007506917222,0.0009367783601218035,480,1.0,1.0
votes^-0.5,fixed C*,7.633226366220633e-05,0.0001490175574969948,480,1.0,1.0
votes^-0.5,C*(t),0.00041444202069732553,0.0003139453117537218,480,1.0,1.0
votes^-1,C=1,-0.004113755961507037,0.0008321991151822979,480,10.0,10.0
votes^-1,fixed C*,0.0007126513713273894,0.0003137655552729178,480,10.0,10.0
votes^-1,C*(t),0.0010507611283625084,0.0004494790843315241,480,10.0,10.0
goods^-0.5,C=1,-0.00428833211795225,0.0009452852076085078,480,0.31622776601683794,0.5623413251903491
goods^-0.5,fixed C*,0.000538075214882176,0.00018210850034456396,480,0.31622776601683794,0.5623413251903491
goods^-0.5,C*(t),0.0008761849719172954,0.0002877736128597955,480,0.31622776601683794,0.5623413251903491
goods^-1,C=1,-0.0033457475983867577,0.000987128222042045,480,1.0,1.7782794100389228
goods^-1,fixed C*,0.0014806597344476688,0.00030561387216660065,480,1.0,1.7782794100389228
goods^-1,C*(t),0.0018187694914827877,0.00036595077329129653,480,1.0,1.7782794100389228
