gauge,median_rho_within_session,n_sessions_rho,picked_minus_Cstar,se,picked_minus_C1,se_C1,n_cuts,share_pick_ge_1,rank_corr_gap_across_cuts
app_auroc,-0.07058823529411765,414,0.013705592851300248,0.0017140761985967364,0.007056909889494401,0.0008346682922582309,7643,0.885908674604213,-0.1173402738893123
cv_auroc,0.03312044789910363,414,0.014322727454613762,0.0018041538075437384,0.0076740444928079165,0.0009246765452569079,7643,0.8966374460290462,-0.1321512412850856
train_auroc,-0.6608624988576,286,0.012499043855142103,0.0016952850513111298,0.0058829714927293286,0.0007868055219223468,7673,1.0,-0.25543153140918556
