dataset,embedder,style,n_cells,final_cost_d,final_cost_se,final_cost_lo,final_cost_hi,final_cost_incumbent,final_cost_hinge,cost_auc_d,cost_auc_se,cost_auc_lo,cost_auc_hi,cost_auc_incumbent,cost_auc_hinge,ap_final_d,ap_final_se,ap_final_lo,ap_final_hi,ap_final_incumbent,ap_final_hinge,positives_d,positives_se,positives_lo,positives_hi,positives_incumbent,positives_hinge,clicks_to_target_d,clicks_to_target_se,clicks_to_target_lo,clicks_to_target_hi,clicks_to_target_incumbent,clicks_to_target_hinge,reached_incumbent,reached_hinge
caltech101_m,siglip,whole_image,24,0.0016819375000000035,0.04195897714966638,-0.08754572916666666,0.092989625,0.08903354166666666,0.09071547916666667,0.0012702003921535195,0.021134755916612537,-0.04374979229532562,0.04613522206634901,0.05362794584072709,0.054898146232880606,0.0,0.0,0.0,0.0,1.0,1.0,5.458333333333333,2.469644420641103,1.125,10.792708333333326,7.5,12.958333333333334,4.916666666666667,2.4638807476305082,0.9145833333333334,10.333333333333334,10.5,11.0,1.0,1.0
coco_val,siglip,whole_image,76,-0.002984723684210524,0.003742824063503099,-0.010493444407894733,0.004107273684210525,0.19424153289473683,0.19125680921052632,0.008447742720089154,0.004502371670150905,-0.0002903760864116149,0.017290618615155587,0.21554221119130196,0.22398995391139112,0.007690072368421051,0.003088070385021451,0.0019119615131579012,0.013943270888157893,0.7785900657894738,0.7862801381578948,3.0657894736842106,0.6631050350348877,1.868421052631579,4.421052631578948,49.10526315789474,52.171052631578945,10.881578947368421,7.614724822378603,-4.2105263157894735,25.488815789473673,26.0,33.5,1.0,0.9605263157894737
coco_val,siglip+dinov3_patch,max_patch,76,0.002521506578947369,0.003152007626276857,-0.004525497532894738,0.00812576003289474,0.12716872368421053,0.12969023026315787,0.00059568020797282,0.0016625105353447638,-0.002644895790338924,0.0037406319481908456,0.14796230074291722,0.14855798095089004,3.0309210526329118e-05,0.002565589059458039,-0.005346567598684199,0.0047418585526315905,0.8543299473684212,0.8543602565789474,3.6710526315789473,1.1845853442031287,1.5921052631578947,6.223684210526316,51.81578947368421,55.48684210526316,5.9605263157894735,5.666163834996421,-4.816447368421053,17.424013157894723,33.0,28.0,1.0,0.9473684210526315
visual_genome_m,siglip,whole_image,68,0.025214838235294117,0.009329989788069572,0.0071665829044117646,0.0429152181985294,0.2994301838235294,0.32464502205882356,0.015574094714066167,0.0053379729601101805,0.005118837603921944,0.02645700626548453,0.321790173177367,0.33736426789143314,0.002482066176470576,0.003642611091934943,-0.004291528125000013,0.010209083088235288,0.6133929411764705,0.6158750073529413,6.632352941176471,1.4691594249020052,3.9996323529411764,9.676470588235293,50.94117647058823,57.5735294117647,9.161764705882353,10.808685181031288,-11.8125,29.841544117647043,60.5,57.5,1.0,0.8382352941176471
visual_genome_m,siglip+dinov3_patch,max_patch,68,0.013932610294117648,0.006094637579942159,0.0024685821691176487,0.02634470091911765,0.21248645588235293,0.22641906617647062,-0.0026900559450618576,0.0038451060730547385,-0.010049622130334524,0.0052757892045756935,0.22892304515183048,0.22623298920676863,0.0015810514705882277,0.0023401630070529404,-0.0033573299632352984,0.0057966428308823415,0.6700513455882353,0.6716323970588236,5.132352941176471,1.2430418596331074,2.8525735294117647,7.794485294117645,49.0735294117647,54.205882352941174,-13.073529411764707,8.299643975724598,-29.059191176470588,3.107720588235268,63.0,44.5,1.0,0.9852941176470589
