geometry,band,corr_terms_across_arms,max_abs_sum_minus_regret,spread_rule_inefficiency,spread_calibration_shift,spread_regret
dinov3_patch/max_patch,deep 101-150,-0.990270503465808,2.9166666658253515e-08,0.02082846041666667,0.025553207500000008,0.007161172083333337
dinov3_patch/max_patch,early 1-25,-0.999229896650257,3.548193399510735e-08,0.0916806210761278,0.08097187298976609,0.011118668650793653
dinov3_patch/max_patch,late 61-100,-0.9797140714056045,9.374999998534861e-09,0.01593135625,0.027427202083333338,0.012767236458333334
dinov3_patch/max_patch,mid 26-60,-0.9416090679080378,1.3690476190209022e-08,0.02473965773809524,0.022819830357142856,0.009806344642857144
dinov3_patch/whole_image,deep 101-150,-0.80669924818199,1.0000000001675335e-08,0.012802588333333333,0.02629670583333333,0.01568493541666667
dinov3_patch/whole_image,early 1-25,-0.9670569682028765,1.587301586003509e-08,0.0520021376540309,0.020152862891604006,0.03184926394371344
dinov3_patch/whole_image,late 61-100,-0.9797943021279076,2.135416667797818e-08,0.03337635104166666,0.036205829166666675,0.0065687718750000006
dinov3_patch/whole_image,mid 26-60,-0.9797355823949876,2.440476189885521e-08,0.018809901785714275,0.01820881607142856,0.005372482142857134
siglip/whole_image,deep 101-150,-0.862035808127086,7.499999996052331e-09,0.024911688333333334,0.013286858749999998,0.014384797916666667
siglip/whole_image,early 1-25,-0.9925274156135051,2.380952383862489e-08,0.13477944527464494,0.0971818941651002,0.03759756687291143
siglip/whole_image,late 61-100,-0.6028313312210885,1.0416666661183793e-08,0.016399386458333335,0.012818569270833323,0.012422139583333335
siglip/whole_image,mid 26-60,-0.9598482905448629,2.2619047634897527e-08,0.04010778035714285,0.031643705357142865,0.009012636309523807
