geometry,mode,band,arm,fraction,mean,sd,n_cells,metric
siglip/whole_image,binary,late 61-100,0.60,0.6,0.32949599114583333,0.10699753494113823,48,cost
siglip/whole_image,binary,late 61-100,0.70,0.7,0.32994565416666666,0.10382321254802923,48,cost
siglip/whole_image,binary,mid 26-60,0.30,0.3,0.3529791869047619,0.12885584846812365,48,cost
siglip/whole_image,binary,mid 26-60,0.40,0.4,0.3472380904761905,0.12632685506425473,48,cost
siglip/whole_image,binary,mid 26-60,0.50,0.5,0.3601614732142857,0.12335932284017231,48,cost
siglip/whole_image,binary,mid 26-60,0.60,0.6,0.3706731797619047,0.12089419499013024,48,cost
siglip/whole_image,binary,mid 26-60,0.70,0.7,0.37152265952380953,0.11718695559798196,48,cost
dinov3_patch/max_patch,region,deep 101-150,0.30,0.3,0.015613260416666669,0.02248944195817228,48,regret_honest
dinov3_patch/max_patch,region,deep 101-150,0.40,0.4,0.015592915416666667,0.02369211964097201,48,regret_honest
dinov3_patch/max_patch,region,deep 101-150,0.50,0.5,0.01329360625,0.02038573582991925,48,regret_honest
dinov3_patch/max_patch,region,deep 101-150,0.60,0.6,0.01239973625,0.020075579905740947,48,regret_honest
dinov3_patch/max_patch,region,deep 101-150,0.70,0.7,0.019498724999999998,0.0235218269247016,48,regret_honest
dinov3_patch/max_patch,region,early 1-25,0.30,0.3,0.017718657886610673,0.021585816439787478,48,regret_honest
dinov3_patch/max_patch,region,early 1-25,0.40,0.4,0.018572830581631533,0.01864819276695016,48,regret_honest
dinov3_patch/max_patch,region,early 1-25,0.50,0.5,0.024303058303826303,0.020132336674588074,48,regret_honest
dinov3_patch/max_patch,region,early 1-25,0.60,0.6,0.02868980773084102,0.026579776516597455,48,regret_honest
dinov3_patch/max_patch,region,early 1-25,0.70,0.7,0.028584905395668644,0.02106693993395911,48,regret_honest
dinov3_patch/max_patch,region,late 61-100,0.30,0.3,0.012443422395833334,0.018426937198353237,48,regret_honest
dinov3_patch/max_patch,region,late 61-100,0.40,0.4,0.012534660416666668,0.01735369153736724,48,regret_honest
dinov3_patch/max_patch,region,late 61-100,0.50,0.5,0.011894053125,0.017008475549433626,48,regret_honest
dinov3_patch/max_patch,region,late 61-100,0.60,0.6,0.009598503125,0.01695634364041685,48,regret_honest
dinov3_patch/max_patch,region,late 61-100,0.70,0.7,0.022960661979166668,0.026307557626725514,48,regret_honest
