geometry,mode,blocks,median,q25,q75,margin
dinov3_patch/max_patch,region,100,0.75,0.6894736842105263,0.8171052631578948,0.013
dinov3_patch/whole_image,binary,100,0.8263157894736842,0.730263157894737,0.8947368421052632,0.013
siglip/whole_image,binary,100,0.7657894736842106,0.6565789473684212,0.8368421052631579,0.013
