geometry,positives,cells,median_positives,median_sd
dinov3_patch/max_patch,fewest,34,4.614577922077922,0.03589424080318626
dinov3_patch/max_patch,middle,32,11.591249999999999,0.030604968186168355
dinov3_patch/max_patch,most,34,26.12475,0.029482414936787358
dinov3_patch/whole_image,fewest,34,7.7034090909090915,0.05434477809546542
dinov3_patch/whole_image,middle,32,19.410357142857144,0.05936345718659711
dinov3_patch/whole_image,most,34,33.759,0.03367981729699296
siglip/whole_image,fewest,33,3.938636363636364,0.02560027908034215
siglip/whole_image,middle,34,7.300803571428572,0.03862010310497269
siglip/whole_image,most,33,12.45142857142857,0.028126085706430427
