geometry,mode,t,median,q25,q75,n_blocks
dinov3_patch/max_patch,region,2,1.1390647892519134e-16,9.254901412671796e-17,1.1390647892519134e-16,4
dinov3_patch/max_patch,region,3,8.54298591938935e-17,1.4238309865648918e-17,1.1390647892519134e-16,6
dinov3_patch/max_patch,region,4,5.695323946259567e-17,0.0,1.1390647892519134e-16,25
dinov3_patch/max_patch,region,5,0.07715769225226178,0.04101851371768478,0.0906738575897735,25
dinov3_patch/max_patch,region,6,0.06915669101426199,0.03661017455197825,0.08613983005755663,25
dinov3_patch/max_patch,region,7,0.04103755040688185,0.0324378256400245,0.06473225919285164,25
dinov3_patch/max_patch,region,8,0.05752151900801537,0.04915809682718659,0.07048723190798459,25
dinov3_patch/max_patch,region,9,0.05989396983477069,0.05447374549158135,0.07863218903965744,25
dinov3_patch/max_patch,region,10,0.06150793640567216,0.04393187551733994,0.07762495502626039,25
dinov3_patch/max_patch,region,11,0.06542631669795057,0.05323676174982748,0.07948044736880094,25
dinov3_patch/max_patch,region,12,0.06102651908335899,0.0482678025511395,0.08555699376568261,25
dinov3_patch/max_patch,region,13,0.062238783368656285,0.05190656554585161,0.10541668702599623,25
dinov3_patch/max_patch,region,14,0.061082975586944546,0.04257932440377112,0.08472244940882893,25
dinov3_patch/max_patch,region,15,0.054043868107307054,0.04594698567614294,0.08431787589916724,25
dinov3_patch/max_patch,region,16,0.054773661831500536,0.037543655650841286,0.09098835423773804,25
dinov3_patch/max_patch,region,17,0.05359943169305455,0.0390642960042193,0.09144832064382766,25
dinov3_patch/max_patch,region,18,0.0548387663240589,0.03658430377634649,0.08261533813345596,25
dinov3_patch/max_patch,region,19,0.05413938827398754,0.03738430292357447,0.07501189968166805,25
dinov3_patch/max_patch,region,20,0.05607152449646696,0.03963947366093286,0.07759855238915289,25
dinov3_patch/max_patch,region,21,0.05798548651740818,0.04089170952170983,0.07677887395252955,25
dinov3_patch/max_patch,region,22,0.059171403168008896,0.03764672321995634,0.0749054628236925,25
dinov3_patch/max_patch,region,23,0.05251252661182754,0.04036357004511422,0.07211169451583244,25
dinov3_patch/max_patch,region,24,0.05108860541644651,0.041840747486152775,0.07378980872372695,25
dinov3_patch/max_patch,region,25,0.05298343591568574,0.03952492126544307,0.0734668842886479,25
dinov3_patch/max_patch,region,26,0.05106740651631558,0.042466615676285874,0.07181222458934866,25
dinov3_patch/max_patch,region,27,0.052094172072871016,0.042450100877042124,0.06505478853777588,25
dinov3_patch/max_patch,region,28,0.05394460968659866,0.04150721815663671,0.06883370034671281,25
dinov3_patch/max_patch,region,29,0.049235066858442096,0.03890510815503876,0.06490645021745972,25
dinov3_patch/max_patch,region,30,0.05176357962678921,0.041320430197580936,0.05981392668009772,25
dinov3_patch/max_patch,region,31,0.05243667881118492,0.041513873946295916,0.06411070729381449,25
dinov3_patch/max_patch,region,32,0.04956709516825069,0.04150409664130189,0.06133596987601629,25
dinov3_patch/max_patch,region,33,0.04978454598438207,0.03595746759187933,0.05804257812339599,25
dinov3_patch/max_patch,region,34,0.04638687453126096,0.04037498124933571,0.0651790836277656,25
dinov3_patch/max_patch,region,35,0.0482197142446891,0.03898810135305116,0.06370492964009929,25
dinov3_patch/max_patch,region,36,0.05273298725932474,0.043938764375788406,0.06766024890202674,25
dinov3_patch/max_patch,region,37,0.046653265667018086,0.04119981658697038,0.06316489095465264,25
dinov3_patch/max_patch,region,38,0.048204685784327954,0.03930402773869633,0.05757719101583269,25
dinov3_patch/max_patch,region,39,0.04534429203375112,0.039029062784269125,0.06440223879197385,25
dinov3_patch/max_patch,region,40,0.04365743085118862,0.037608848684570866,0.058289985154533965,25
dinov3_patch/max_patch,region,41,0.04063617037151949,0.0349698207756571,0.0567539098722676,25
dinov3_patch/max_patch,region,42,0.04417972124521909,0.038767524905043364,0.05579537852987563,25
dinov3_patch/max_patch,region,43,0.04273899018694756,0.036760812090673264,0.05203778428785639,25
dinov3_patch/max_patch,region,44,0.039311752667484476,0.03477141943165543,0.06342411264966479,25
dinov3_patch/max_patch,region,45,0.041501182477763576,0.03876154114909044,0.0609648786798596,25
