geometry,mode,category,band,metric,n_seeds,n_draws,sd_draw,sd_seed,seed_var_was_negative,share_draw
dinov3_patch/whole_image,binary,bird,late 61-100,threshold,5,20,0.010373744798267635,0.005107627238575381,False,0.8048812230745329
dinov3_patch/whole_image,binary,bird,late 61-100,oracle_cost,5,20,0.02573033810811025,0.041233304766295054,False,0.28026428236686823
dinov3_patch/whole_image,binary,bird,late 61-100,regret,5,20,0.05593778689803159,0.04432337667767329,False,0.6143076413007487
dinov3_patch/whole_image,binary,bird,late 61-100,n_good,5,20,8.714287968768968,3.271788412492226,False,0.8764522438013311
dinov3_patch/whole_image,binary,bird,mid 26-60,cost,5,20,0.04942376834739261,0.0016800358396131493,False,0.9988458457639915
dinov3_patch/whole_image,binary,bird,mid 26-60,f1,5,20,0.019749134447807872,0.006485057740012384,False,0.9026671986941549
dinov3_patch/whole_image,binary,bird,mid 26-60,auroc,5,20,0.01572389702931266,0.021509365419150488,False,0.3482787977575972
dinov3_patch/whole_image,binary,bird,mid 26-60,threshold,5,20,0.013752247351173781,0.0038127277083781965,False,0.9286221794160965
dinov3_patch/whole_image,binary,bird,mid 26-60,oracle_cost,5,20,0.025045783506476252,0.039359561583193196,False,0.28821546849212404
dinov3_patch/whole_image,binary,bird,mid 26-60,regret,5,20,0.05064809734306202,0.0409817945426025,False,0.6043318147516848
dinov3_patch/whole_image,binary,bird,mid 26-60,n_good,5,20,4.0198867087829795,1.1301745537833212,False,0.9267471257349615
dinov3_patch/whole_image,binary,fork,deep 101-150,cost,5,20,0.03749180295666604,0.004697085392985252,False,0.9845467229537991
dinov3_patch/whole_image,binary,fork,deep 101-150,f1,5,20,0.02616653981075323,0.0007150087539466783,False,0.9992538846583274
dinov3_patch/whole_image,binary,fork,deep 101-150,auroc,5,20,0.01888192641729103,0.006628867382469759,False,0.890273954533852
dinov3_patch/whole_image,binary,fork,deep 101-150,threshold,5,20,0.01147253970852483,0.007097434988625098,False,0.7232110443879434
dinov3_patch/whole_image,binary,fork,deep 101-150,oracle_cost,5,20,0.03970532019489039,0.002129093523180721,False,0.9971328850079091
dinov3_patch/whole_image,binary,fork,deep 101-150,regret,5,20,0.006924936746550595,0.0023189657641054045,False,0.8991681015697419
dinov3_patch/whole_image,binary,fork,deep 101-150,n_good,5,20,4.501587556220115,1.5568585914219104,False,0.8931682794438676
dinov3_patch/whole_image,binary,fork,early 1-25,cost,5,20,0.05612166413482858,0.03135326166635821,False,0.7621326056244693
dinov3_patch/whole_image,binary,fork,early 1-25,f1,5,20,0.018336394401169326,0.008441397312572771,False,0.8251273860818774
dinov3_patch/whole_image,binary,fork,early 1-25,auroc,5,20,0.03133428479297015,0.0323550700713468,False,0.48397655109443494
dinov3_patch/whole_image,binary,fork,early 1-25,threshold,5,20,0.009956742099949708,0.009212545374338589,False,0.538763922767295
dinov3_patch/whole_image,binary,fork,early 1-25,oracle_cost,5,20,0.05024350770114239,0.05731694411098939,False,0.43452075044542066
dinov3_patch/whole_image,binary,fork,early 1-25,regret,5,20,0.0378567134458405,0.05175656603276447,False,0.3485347904949256
dinov3_patch/whole_image,binary,fork,early 1-25,n_good,5,20,1.0209878882448036,0.9253453412928907,False,0.5490214888649666
dinov3_patch/whole_image,binary,fork,late 61-100,cost,5,20,0.058770285133554215,0.022904003747299118,False,0.8681442404199813
dinov3_patch/whole_image,binary,fork,late 61-100,f1,5,20,0.02663837337643026,0.0,True,1.0
dinov3_patch/whole_image,binary,fork,late 61-100,auroc,5,20,0.03038138950550426,0.015444593678744359,False,0.7946429022892136
dinov3_patch/whole_image,binary,fork,late 61-100,threshold,5,20,0.013834868314533127,0.004741524877704228,False,0.8948874818146627
dinov3_patch/whole_image,binary,fork,late 61-100,oracle_cost,5,20,0.06019240346144194,0.022018440241002697,False,0.8819817116180744
dinov3_patch/whole_image,binary,fork,late 61-100,regret,5,20,0.006945795885914528,0.0017667973225377978,False,0.9392284030214251
dinov3_patch/whole_image,binary,fork,late 61-100,n_good,5,20,3.57375917001456,1.0515889410729098,False,0.9203147672098395
dinov3_patch/whole_image,binary,fork,mid 26-60,cost,5,20,0.07379594110001952,0.030614287143998324,False,0.8531688090937013
dinov3_patch/whole_image,binary,fork,mid 26-60,f1,5,20,0.032933678388339965,0.0,True,1.0
dinov3_patch/whole_image,binary,fork,mid 26-60,auroc,5,20,0.037448504528781686,0.019167895927268384,False,0.7924011194386186
dinov3_patch/whole_image,binary,fork,mid 26-60,threshold,5,20,0.014542887507313145,0.0057440738790010245,False,0.8650481005947802
