geometry,mode,cells,sd_draw,sd_seed,share_draw,sd_seen,sd_predicted
dinov3_patch/max_patch,region,20,0.03742643112369933,0.029662149884559848,0.6142021786852044,0.04792010500437617,0.04775542777979382
dinov3_patch/whole_image,binary,20,0.0588722893701916,0.03165973008258199,0.7756771296268419,0.06570108000491975,0.06684523142745129
siglip/whole_image,binary,20,0.04309729673061801,0.03165685830790218,0.6495384227334876,0.0529023303521838,0.0534746076508611
POOLED,both,60,0.047342937480443416,0.031007194447969844,0.6998107416879977,0.05601078745543842,0.0565932843790797
