geometry,mode,category,seed,band,n_draws,best_draw,best,worst_draw,worst,range,pin
dinov3_patch/whole_image,binary,bicycle,4,deep 101-150,20,5,0.31692214,13,0.42101666000000004,0.10409452000000002,0.37919396
dinov3_patch/whole_image,binary,kite,1,deep 101-150,20,7,0.08168075999999999,0,0.12564278,0.04396202000000002,0.08935036
dinov3_patch/whole_image,binary,kite,2,deep 101-150,20,7,0.0964705,11,0.13375892,0.03728842,0.11663334
dinov3_patch/whole_image,binary,kite,4,deep 101-150,20,10,0.06978992,11,0.10583702,0.0360471,0.09221325999999999
dinov3_patch/whole_image,binary,kite,3,deep 101-150,20,7,0.08904414,13,0.12405156,0.03500742000000001,0.09987259999999999
dinov3_patch/whole_image,binary,kite,0,deep 101-150,20,0,0.10279666000000001,10,0.12864064,0.02584397999999999,0.11046597999999999
siglip/whole_image,binary,knife,1,deep 101-150,20,0,0.16592592,17,0.61816094,0.45223502,0.224881
siglip/whole_image,binary,bicycle,4,deep 101-150,20,1,0.3155551,5,0.5080709999999999,0.19251589999999996,0.34907725999999994
siglip/whole_image,binary,bird,0,deep 101-150,20,10,0.27837388,18,0.43607860000000004,0.15770472000000002,0.31476046
siglip/whole_image,binary,bicycle,2,deep 101-150,20,4,0.30762692,8,0.46503008,0.15740316,0.32986911999999996
siglip/whole_image,binary,knife,2,deep 101-150,20,17,0.19427534000000002,9,0.335481,0.14120565999999996,0.31143180000000004
siglip/whole_image,binary,knife,3,deep 101-150,20,11,0.17729402,5,0.31337044,0.13607641999999998,0.22891421999999997
siglip/whole_image,binary,bird,1,deep 101-150,20,12,0.32968652,6,0.46357056,0.13388404000000004,0.42438906000000004
siglip/whole_image,binary,knife,4,deep 101-150,20,6,0.19596228,16,0.32714212000000004,0.13117984000000005,0.22375194
siglip/whole_image,binary,bicycle,3,deep 101-150,20,15,0.28740562000000003,0,0.41354578,0.12614015999999995,0.30427386
siglip/whole_image,binary,bird,2,deep 101-150,20,5,0.27528768,17,0.39919302,0.12390534000000003,0.35936182
siglip/whole_image,binary,knife,0,deep 101-150,20,17,0.18842099999999998,14,0.31214742,0.12372642000000003,0.21734736000000002
siglip/whole_image,binary,bird,3,deep 101-150,20,3,0.29017906,11,0.41302962,0.12285056,0.36538166000000005
siglip/whole_image,binary,bicycle,0,deep 101-150,20,13,0.30279606000000003,18,0.42351212000000005,0.12071606000000001,0.33776992
siglip/whole_image,binary,bird,4,deep 101-150,20,7,0.32570126,18,0.44519588,0.11949462,0.43440027999999997
siglip/whole_image,binary,bicycle,1,deep 101-150,20,12,0.28728416,14,0.40281032000000005,0.11552616000000004,0.33793253999999995
siglip/whole_image,binary,fork,4,deep 101-150,20,5,0.17431180000000002,3,0.25684861999999997,0.08253681999999996,0.1907017
siglip/whole_image,binary,fork,3,deep 101-150,20,16,0.18666280000000002,12,0.26814852,0.08148571999999998,0.21679811999999998
siglip/whole_image,binary,kite,4,deep 101-150,20,7,0.06600294,14,0.14669518,0.08069224000000001,0.07845938000000001
siglip/whole_image,binary,fork,2,deep 101-150,20,8,0.1694629,13,0.24920502,0.07974212,0.17861588
siglip/whole_image,binary,kite,3,deep 101-150,20,3,0.07153034,16,0.12951362,0.05798328,0.08617752
siglip/whole_image,binary,fork,0,deep 101-150,20,0,0.17489704,15,0.2324804,0.05758336,0.19332008
siglip/whole_image,binary,fork,1,deep 101-150,20,6,0.1875485,1,0.24051504,0.052966540000000006,0.20925662
siglip/whole_image,binary,kite,0,deep 101-150,20,16,0.0838899,12,0.11263868,0.02874878,0.08824844000000001
siglip/whole_image,binary,kite,2,deep 101-150,20,10,0.08098446,0,0.10884935999999999,0.027864899999999998,0.08921746000000001
siglip/whole_image,binary,kite,1,deep 101-150,20,1,0.07355877999999999,9,0.09902723999999999,0.02546846,0.07957642
