geometry,mode,band,blocks,rms_sd_cost,share_ranking,share_cut,share_cov
dinov3_patch/max_patch,region,deep 101-150,25,0.029477015661839304,0.5899717061701243,0.7271699630595833,-0.31714184706428244
dinov3_patch/max_patch,region,early 1-25,25,0.038852604788591406,0.7597592995390822,0.3240621663772701,-0.08382148385727618
dinov3_patch/max_patch,region,late 61-100,25,0.03598994269477731,0.690332193926915,0.5036129497399272,-0.1939452303971031
dinov3_patch/max_patch,region,mid 26-60,25,0.04392329291239319,0.838311570390883,0.3189541766179233,-0.1572657567179034
dinov3_patch/whole_image,binary,deep 101-150,25,0.049827606714590175,1.0005420552435267,0.1300785856850875,-0.13062075502192308
dinov3_patch/whole_image,binary,early 1-25,25,0.05080447121882048,0.3882694000135251,0.7156460522055117,-0.10391554867400608
dinov3_patch/whole_image,binary,late 61-100,25,0.06493914655478332,0.8329116587666394,0.22817402566664985,-0.061085623548244185
dinov3_patch/whole_image,binary,mid 26-60,25,0.06769644289590736,0.6544570374862785,0.3765433469692409,-0.031000462830775427
siglip/whole_image,binary,deep 101-150,25,0.03547045000999174,1.1090540961459119,0.21872708140213223,-0.32778118304759307
siglip/whole_image,binary,early 1-25,25,0.03813525674727396,1.0755780705322129,0.2912132995561836,-0.36679118662784027
siglip/whole_image,binary,late 61-100,25,0.04577805057019747,1.091243312782721,0.15634058301493778,-0.2475839864787075
siglip/whole_image,binary,mid 26-60,25,0.05119987692219941,1.144734821957988,0.12642154989820023,-0.2711563825488282
