geometry,mode,band,k,metric,delta,se,n_cells,n_steps,win_rate,resolved,beats_margin
siglip/whole_image,binary,deep 101-150,6,cost,-0.006594218333333333,0.0016539776684420414,48,2400,0.7708333333333334,True,True
siglip/whole_image,binary,deep 101-150,8,cost,-0.007677591666666667,0.0018039749748174228,48,2400,0.7708333333333334,True,True
siglip/whole_image,binary,early 1-25,1,cost,0.027407536706349208,0.005096914400612248,48,1008,0.125,True,False
siglip/whole_image,binary,early 1-25,3,cost,-0.012974261904761905,0.003070170209523534,48,1008,0.7916666666666666,True,True
siglip/whole_image,binary,early 1-25,4,cost,-0.026830703373015876,0.004281039852024173,48,1008,0.875,True,True
siglip/whole_image,binary,early 1-25,6,cost,-0.036726475198412704,0.00545724208506594,48,1008,0.9791666666666666,True,True
siglip/whole_image,binary,early 1-25,8,cost,-0.038466665674603176,0.005614295096760168,48,1008,0.9375,True,True
siglip/whole_image,binary,late 61-100,1,cost,0.0051440088541666665,0.002547629415247981,48,1920,0.3958333333333333,True,False
siglip/whole_image,binary,late 61-100,3,cost,-0.004825681250000001,0.001423961185772985,48,1920,0.6458333333333334,True,False
siglip/whole_image,binary,late 61-100,4,cost,-0.007452669270833334,0.0022309991848597937,48,1920,0.7083333333333334,True,True
siglip/whole_image,binary,late 61-100,6,cost,-0.009853901562500001,0.002346780199048716,48,1920,0.7916666666666666,True,True
siglip/whole_image,binary,late 61-100,8,cost,-0.011443011979166667,0.002315229549700239,48,1920,0.8333333333333334,True,True
siglip/whole_image,binary,mid 26-60,1,cost,0.016326072023809524,0.006444840928712225,48,1680,0.3125,True,False
siglip/whole_image,binary,mid 26-60,3,cost,-0.01053119880952381,0.0020444148502790113,48,1680,0.7916666666666666,True,True
siglip/whole_image,binary,mid 26-60,4,cost,-0.019159444642857144,0.0037561932750445797,48,1680,0.8541666666666666,True,True
siglip/whole_image,binary,mid 26-60,6,cost,-0.027007769047619045,0.00544272230189927,48,1680,0.875,True,True
siglip/whole_image,binary,mid 26-60,8,cost,-0.02983935714285714,0.005963554676466829,48,1680,0.9166666666666666,True,True
