dataset,kind,band,n_queries,abs_drift_median,abs_drift_max,winner_flip_rate,spearman_min,top10_overlap_mean,top100_overlap_mean,top1_same_rate,ap32_mean,d_ap_mean,d_ap_se,d_ap_max_abs
caltech101_m,centroid,image_level,25,5.068257451057434e-06,4.410743713378906e-05,0.00038186157517899763,0.9999990619896287,1.0,1.0,1.0,0.997712090417269,0.0,0.0,0.0
caltech101_m,exemplar,image_level,200,5.043577402830124e-06,5.173683166503906e-05,0.0009009546539379476,0.9999987357251517,1.0,0.9998,1.0,0.9875340185272984,7.462295593396729e-08,1.4218941341300886e-07,1.4308938794060921e-05
coco_val,centroid,above_4x,7,6.662309169769287e-05,0.00021785497665405273,0.007414031848603738,0.999995263123222,1.0,0.9985714285714286,1.0,0.8471470670219559,-2.367602984863572e-06,1.9829607989376437e-05,9.899900465815126e-05
coco_val,centroid,leaf_to_4x,35,7.304549217224121e-05,0.0002187490463256836,0.007269789983844911,0.9999934932794107,0.9942857142857142,0.9991428571428571,1.0,0.7945856294486386,2.7981188513294596e-05,3.0811415404273385e-05,0.0005971377864006921
coco_val,centroid,patch_to_leaf,35,7.617473602294922e-05,0.000221937894821167,0.005763904915762752,0.999995916710434,0.9914285714285715,0.9991428571428571,1.0,0.6308801685201403,-3.2971622496682666e-05,2.6540539937530728e-05,0.0004521886359749594
coco_val,centroid,sub_patch,1,8.061528205871582e-05,0.00020569562911987305,0.006663974151857835,0.9999964283939211,1.0,1.0,1.0,0.40978433842548745,-2.633297045168126e-05,,2.633297045168126e-05
coco_val,exemplar,above_4x,134,4.778057336807251e-05,0.00024518370628356934,0.004412509343428255,0.9999963473625462,0.9985074626865672,0.9997014925373134,1.0,0.49326076225640025,-3.7889984146198003e-06,2.0264730439651853e-05,0.0020280845135219883
coco_val,exemplar,leaf_to_4x,203,4.8726797103881836e-05,0.00025212764739990234,0.004326261171283733,0.9999966254385085,0.9985221674876846,0.9992610837438425,1.0,0.5067996089694019,8.231893592047134e-06,7.202335343395835e-06,0.0005201896195356492
coco_val,exemplar,patch_to_leaf,217,5.0634145736694336e-05,0.0002441108226776123,0.003796818117522688,0.9999971634077831,1.0,0.99926267281106,1.0,0.45203704708999104,1.4256205971527305e-05,1.0439182847079613e-05,0.0014538928837776188
coco_val,exemplar,sub_patch,70,5.551427602767944e-05,0.0002352297306060791,0.0036291253173321033,0.9999977329002391,1.0,0.9994285714285716,1.0,0.259508091955224,-3.369937431901887e-06,1.327634051709422e-05,0.00048074975686837607
visual_genome_m,centroid,above_4x,7,7.557868957519531e-05,0.00023239850997924805,0.00725699294742939,0.9999921325776607,1.0,0.9971428571428572,1.0,0.6376988214744641,2.4540702776616145e-06,2.734337738808848e-05,0.00013509189455795934
visual_genome_m,centroid,leaf_to_4x,27,7.370114326477051e-05,0.00023424625396728516,0.0065541334322636495,0.9999917671318154,1.0,0.9970370370370369,0.9629629629629629,0.4840625923513047,-0.001165640488407597,0.0012392546736753264,0.033333333333333326
visual_genome_m,centroid,patch_to_leaf,61,7.718801498413086e-05,0.00022852420806884766,0.006036602768861451,0.9999929075833043,0.9967213114754098,0.997704918032787,1.0,0.3381807129935094,2.8106709870222224e-05,3.4728412828380506e-05,0.001645684856610874
visual_genome_m,centroid,sub_patch,5,7.647275924682617e-05,0.00020611286163330078,0.004912950155020272,0.9999949262442968,1.0,0.998,1.0,0.25896790987491536,-3.65202828018496e-05,4.16984855161199e-05,0.00014983092695419753
visual_genome_m,exemplar,above_4x,148,4.7788023948669434e-05,0.0002298206090927124,0.004246137384701659,0.9999959758633662,0.9993243243243244,0.9995270270270271,1.0,0.36692409499817463,-8.263468055163604e-06,1.545304636338713e-05,0.0021283112603239507
visual_genome_m,exemplar,leaf_to_4x,200,5.061924457550049e-05,0.0002530813217163086,0.004150965895540186,0.9999959472137142,0.9980000000000001,0.9993000000000001,1.0,0.31664296777576195,-1.2013470528560583e-05,1.0287575107859339e-05,0.001153846153846172
visual_genome_m,exemplar,patch_to_leaf,300,5.017220973968506e-05,0.00026422739028930664,0.0036409889498370297,0.9999959092854817,0.9993333333333334,0.9990333333333334,1.0,0.2580302026476414,-1.781587839374194e-05,1.1252670017163557e-05,0.0018251404821044426
visual_genome_m,exemplar,sub_patch,152,5.1215291023254395e-05,0.0002631545066833496,0.0033122246350433685,0.999996479511226,0.9986842105263158,0.9991447368421053,1.0,0.1393876991369865,1.0345112003466794e-05,2.04266324443676e-05,0.002991452991452981
