arm,inclusion,cases,admitted_moved_pct,d_adm_frac_median,d_adm_frac_p90
free1e-3,-3,2258,78.7422497785651,0.023518876812846777,0.14034056938875994
free1e-3,0,2258,81.93091231178033,0.040290542461880796,0.2876632838021598
free1e-3,3,2258,82.01948627103631,0.08618165822985621,0.4628085998221005
free1e-4,-3,2258,76.08503100088573,0.013046537829532226,0.0747968946279162
free1e-4,0,2258,80.20372010628876,0.022440119475214,0.12521593249617965
free1e-4,3,2258,79.71656333038086,0.052382140387951845,0.2913437140222353
free1e-5,-3,2258,71.03631532329496,0.00451559934318555,0.030950028180613404
free1e-5,0,2258,75.73073516386182,0.008638420403126285,0.05135126802769739
free1e-5,3,2258,76.48361381753764,0.01916188212859065,0.1288903643914118
free1e-6,-3,2258,57.61736049601417,0.0004985044865403788,0.01323855558304271
free1e-6,0,2258,62.66607617360496,0.0014367829274222776,0.02216729151831801
free1e-6,3,2258,68.86625332152347,0.003365385393256609,0.05812741080038571
iter25,-3,2258,65.58901682905226,0.0025015661949424244,0.09614180169768197
iter25,0,2258,70.63773250664305,0.005846938135963645,0.1451253114122166
iter25,3,2258,72.98494242692648,0.012516788644609561,0.3121064533843438
iter400,-3,2258,12.223206377325067,0.0,0.000484027105517909
iter400,0,2258,13.507528786536756,0.0,0.0009589107237699772
iter400,3,2258,14.791851195748452,0.0,0.000994530084535057
ll1e-3,-3,2258,76.74933569530558,0.019670548540839,0.12136813903443923
ll1e-3,0,2258,80.3808680248007,0.03297756380574321,0.20286425643696254
ll1e-3,3,2258,81.04517271922055,0.07786351490500126,0.38990199992395724
ll1e-4,-3,2258,73.64924712134633,0.00834697566470377,0.04305517382397464
ll1e-4,0,2258,79.45084145261293,0.014645478258486347,0.06601428171039322
ll1e-4,3,2258,78.43224092116917,0.04023511196352442,0.16438761379839856
ll1e-5,-3,2258,69.6191319751993,0.0027141757672927646,0.013957552629467919
ll1e-5,0,2258,77.0593445527015,0.0052716950527169504,0.024258021863858514
ll1e-5,3,2258,77.14791851195749,0.014708806396235117,0.06353926976159865
ll1e-6,-3,2258,63.10894596988486,0.0008244023083264633,0.0043457267020762915
ll1e-6,0,2258,72.14348981399469,0.0014992503748125937,0.006994055419842526
ll1e-6,3,2258,75.15500442869796,0.004793863854266539,0.019374169159189096
ll1e-7,-3,2258,50.487156775907884,0.00040551500405515005,0.0014591439688715954
ll1e-7,0,2258,58.23737821080602,0.00041999160016799666,0.0019743336623889436
ll1e-7,3,2258,70.15057573073517,0.001445086705202312,0.005414410662224073
ll1e-8,-3,2258,31.842338352524358,0.0,0.0004948045522018803
ll1e-8,0,2258,34.76527900797166,0.0,0.0004985790757403599
ll1e-8,3,2258,56.59875996457041,0.0004139072847682119,0.0016625103906899418
ll1e-9,-3,2258,13.46324180690877,0.0,0.0004139072847682119
ll1e-9,0,2258,11.558901682905226,0.0,0.00040966816878328555
ll1e-9,3,2258,31.709477413640393,0.0,0.000496031746031746
param1e-6,-3,2258,2.2143489813994686,0.0,0.0
param1e-6,0,2258,1.5057573073516386,0.0,0.0
param1e-6,3,2258,5.8901682905225865,0.0,0.0
