arm,seed,n_votes,policy,design,inclusion,threshold,alpha_cap,fnr_excess,n_included,pool_size,recall,precision,fpr,fnr,vote_pos_frac,n_cal_pos,cal_pos_q25,pool_pos_q25,cal_pos_min
agnews:Business,0,12,uniform,conformal,-10,0.5299970209598541,1.0,0.0,350,2388,0.4966442953020134,0.8457142857142858,0.030133928571428572,0.5033557046979866,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,conformal,-7,0.5273713029455394,1.0,0.0,382,2388,0.5335570469798657,0.8324607329842932,0.03571428571428571,0.4664429530201342,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,conformal,-5,0.527272286824882,1.0,0.0,386,2388,0.5369127516778524,0.8290155440414507,0.036830357142857144,0.46308724832214765,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,conformal,-3,0.5268762223422527,1.0,0.0,395,2388,0.5469798657718121,0.8253164556962025,0.03850446428571429,0.45302013422818793,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,conformal,-1,0.5252919644117355,0.5,0.0,415,2388,0.5671140939597316,0.8144578313253013,0.04296875,0.43288590604026844,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,conformal,0,0.5227305889129639,0.25,0.14093959731543626,455,2388,0.6090604026845637,0.7978021978021979,0.05133928571428571,0.39093959731543626,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,conformal,1,0.5227305889129639,0.125,0.26593959731543626,455,2388,0.6090604026845637,0.7978021978021979,0.05133928571428571,0.39093959731543626,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,conformal,3,0.5227305889129639,0.03125,0.35968959731543626,455,2388,0.6090604026845637,0.7978021978021979,0.05133928571428571,0.39093959731543626,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,conformal,5,0.5227305889129639,0.0078125,0.38312709731543626,455,2388,0.6090604026845637,0.7978021978021979,0.05133928571428571,0.39093959731543626,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,conformal,7,0.5227305889129639,0.001953125,0.38898647231543626,455,2388,0.6090604026845637,0.7978021978021979,0.05133928571428571,0.39093959731543626,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,conformal,10,0.5227305889129639,0.000244140625,0.39069545669043626,455,2388,0.6090604026845637,0.7978021978021979,0.05133928571428571,0.39093959731543626,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,blend,-10,0.5205070688654859,1.0,0.0,492,2388,0.6342281879194631,0.7682926829268293,0.06361607142857142,0.36577181208053694,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,blend,-7,0.5193817611450653,1.0,0.0,504,2388,0.6476510067114094,0.7658730158730159,0.06584821428571429,0.3523489932885906,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,blend,-5,0.5193393256647836,1.0,0.0,505,2388,0.6476510067114094,0.7643564356435644,0.06640625,0.3523489932885906,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,blend,-3,0.5191695837436567,1.0,0.0,508,2388,0.6476510067114094,0.7598425196850394,0.06808035714285714,0.3523489932885906,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,blend,-1,0.5184906160591494,0.5,0.0,522,2388,0.6610738255033557,0.7547892720306514,0.07142857142857142,0.3389261744966443,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,blend,0,0.517392883702533,0.25,0.08053691275167785,538,2388,0.6694630872483222,0.741635687732342,0.07756696428571429,0.33053691275167785,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,blend,1,0.517392883702533,0.125,0.20553691275167785,538,2388,0.6694630872483222,0.741635687732342,0.07756696428571429,0.33053691275167785,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,blend,3,0.517392883702533,0.03125,0.29928691275167785,538,2388,0.6694630872483222,0.741635687732342,0.07756696428571429,0.33053691275167785,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,blend,5,0.517392883702533,0.0078125,0.32272441275167785,538,2388,0.6694630872483222,0.741635687732342,0.07756696428571429,0.33053691275167785,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,blend,7,0.517392883702533,0.001953125,0.32858378775167785,538,2388,0.6694630872483222,0.741635687732342,0.07756696428571429,0.33053691275167785,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,blend,10,0.517392883702533,0.000244140625,0.33029277212667785,538,2388,0.6694630872483222,0.741635687732342,0.07756696428571429,0.33053691275167785,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,oracle,-10,0.57404412489268,1.0,0.0,20,2388,0.031879194630872486,0.95,0.0005580357142857143,0.9681208053691275,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,oracle,-7,0.5654925352428108,1.0,0.0,47,2388,0.07214765100671142,0.9148936170212766,0.002232142857142857,0.9278523489932886,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,oracle,-5,0.5473272292874753,1.0,0.0,170,2388,0.26174496644295303,0.9176470588235294,0.0078125,0.738255033557047,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,oracle,-3,0.5284265838563442,1.0,0.0,366,2388,0.5201342281879194,0.8469945355191257,0.03125,0.4798657718120805,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,oracle,-1,0.5118612796068192,0.5,0.0,664,2388,0.738255033557047,0.6626506024096386,0.125,0.26174496644295303,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,oracle,0,0.5032541006803513,0.25,0.0,962,2388,0.8624161073825504,0.5343035343035343,0.25,0.13758389261744966,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,oracle,1,0.5024434030056,0.125,0.000838926174496657,990,2388,0.8741610738255033,0.5262626262626262,0.26171875,0.12583892617449666,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,oracle,3,0.4885760322213173,0.03125,0.0006291946308724858,1613,2388,0.9681208053691275,0.3577185368877867,0.578125,0.031879194630872486,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,oracle,5,0.48026216123253107,0.0078125,0.000576761744966443,1977,2388,0.9916107382550335,0.29893778452200304,0.7734375,0.008389261744966443,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,oracle,7,0.47290210548089817,0.001953125,0.0014025796979865771,2199,2388,0.9966442953020134,0.27012278308321963,0.8956473214285714,0.003355704697986577,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,uniform,oracle,10,0.46480431792588206,0.000244140625,0.0014337117239932886,2327,2388,0.9983221476510067,0.2556940266437473,0.9665178571428571,0.0016778523489932886,0.3333333333333333,4,0.524351492524147,0.5109140276908875,0.5227305889129639
agnews:Business,0,12,toplist,conformal,-10,0.6081398278474808,1.0,0.0,0,2388,0.0,,0.0,1.0,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,conformal,-7,0.5905420571565628,1.0,0.0,0,2388,0.0,,0.0,1.0,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,conformal,-5,0.5519702956080437,1.0,0.0,0,2388,0.0,,0.0,1.0,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,conformal,-3,0.5343061611056328,1.0,0.0,623,2388,0.26949152542372884,0.2552166934189406,0.25806451612903225,0.7305084745762712,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,conformal,-1,0.533085361123085,0.5,0.16610169491525428,826,2388,0.3338983050847458,0.23849878934624696,0.349833147942158,0.6661016949152543,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,conformal,0,0.531793475151062,0.25,0.35169491525423724,1064,2388,0.3983050847457627,0.22086466165413535,0.4610678531701891,0.6016949152542372,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,conformal,1,0.531793475151062,0.125,0.47669491525423724,1064,2388,0.3983050847457627,0.22086466165413535,0.4610678531701891,0.6016949152542372,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,conformal,3,0.531793475151062,0.03125,0.5704449152542372,1064,2388,0.3983050847457627,0.22086466165413535,0.4610678531701891,0.6016949152542372,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,conformal,5,0.531793475151062,0.0078125,0.5938824152542372,1064,2388,0.3983050847457627,0.22086466165413535,0.4610678531701891,0.6016949152542372,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,conformal,7,0.531793475151062,0.001953125,0.5997417902542372,1064,2388,0.3983050847457627,0.22086466165413535,0.4610678531701891,0.6016949152542372,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,conformal,10,0.531793475151062,0.000244140625,0.6014507746292372,1064,2388,0.3983050847457627,0.22086466165413535,0.4610678531701891,0.6016949152542372,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,blend,-10,0.5637803124370724,1.0,0.0,0,2388,0.0,,0.0,1.0,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,blend,-7,0.5562384107123933,1.0,0.0,0,2388,0.0,,0.0,1.0,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,blend,-5,0.539707655763028,1.0,0.0,69,2388,0.0576271186440678,0.4927536231884058,0.01946607341490545,0.9423728813559322,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,blend,-3,0.5321373124048518,1.0,0.0,996,2388,0.3847457627118644,0.22791164658634538,0.42769744160177975,0.6152542372881356,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,blend,-1,0.5316141124123315,0.5,0.09322033898305082,1114,2388,0.4067796610169492,0.21543985637342908,0.4860956618464961,0.5932203389830508,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,blend,0,0.5310604469957501,0.25,0.30932203389830504,1229,2388,0.4406779661016949,0.2115541090317331,0.5389321468298109,0.559322033898305,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,blend,1,0.5310604469957501,0.125,0.43432203389830504,1229,2388,0.4406779661016949,0.2115541090317331,0.5389321468298109,0.559322033898305,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,blend,3,0.5310604469957501,0.03125,0.528072033898305,1229,2388,0.4406779661016949,0.2115541090317331,0.5389321468298109,0.559322033898305,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,blend,5,0.5310604469957501,0.0078125,0.551509533898305,1229,2388,0.4406779661016949,0.2115541090317331,0.5389321468298109,0.559322033898305,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,blend,7,0.5310604469957501,0.001953125,0.557368908898305,1229,2388,0.4406779661016949,0.2115541090317331,0.5389321468298109,0.559322033898305,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,blend,10,0.5310604469957501,0.000244140625,0.559077893273305,1229,2388,0.4406779661016949,0.2115541090317331,0.5389321468298109,0.559322033898305,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,oracle,-10,0.5432253921026131,1.0,0.0,14,2388,0.022033898305084745,0.9285714285714286,0.0005561735261401557,0.9779661016949153,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,oracle,-7,0.5423498548334464,1.0,0.0,22,2388,0.030508474576271188,0.8181818181818182,0.002224694104560623,0.9694915254237289,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,oracle,-5,0.5411116499453783,1.0,0.0,38,2388,0.03898305084745763,0.6052631578947368,0.008342602892102336,0.9610169491525423,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,oracle,-3,0.5389728080481291,1.0,0.0,102,2388,0.07627118644067797,0.4411764705882353,0.03170189098998888,0.923728813559322,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,oracle,-1,0.5300813615322113,0.5,0.0,1418,2388,0.5,0.20803949224259521,0.6245828698553949,0.5,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,oracle,0,0.5255008339881897,0.25,0.0008474576271186307,2084,2388,0.7491525423728813,0.21209213051823417,0.9132369299221357,0.25084745762711863,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,oracle,1,0.5221458598971367,0.125,0.00042372881355931535,2263,2388,0.8745762711864407,0.22801590808661068,0.9716351501668521,0.12542372881355932,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,oracle,3,0.5165596473962069,0.03125,0.0009533898305084734,2359,2388,0.9677966101694915,0.2420517168291649,0.9944382647385984,0.03220338983050847,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,oracle,5,0.5132956295274198,0.0078125,0.0006620762711864406,2379,2388,0.9915254237288136,0.2459016393442623,0.9977753058954394,0.00847457627118644,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,oracle,7,0.5040296715451404,0.001953125,0.0014367055084745762,2385,2388,0.9966101694915255,0.24654088050314465,0.9994438264738599,0.003389830508474576,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,12,toplist,oracle,10,0.49983602196880383,0.000244140625,0.001450774629237288,2386,2388,0.9983050847457627,0.24685666387259012,0.9994438264738599,0.001694915254237288,0.8333333333333334,10,0.5382226556539536,0.5255008339881897,0.531793475151062
agnews:Business,0,24,uniform,conformal,-10,0.5222424175444758,1.0,0.0,554,2376,0.7331081081081081,0.7833935018050542,0.06726457399103139,0.2668918918918919,0.3333333333333333,8,0.5128421932458878,0.5218575298786163,0.5102460384368896
agnews:Business,0,24,uniform,conformal,-7,0.5220967381028458,1.0,0.0,558,2376,0.7381756756756757,0.7831541218637993,0.06782511210762332,0.26182432432432434,0.3333333333333333,8,0.5128421932458878,0.5218575298786163,0.5102460384368896
agnews:Business,0,24,uniform,conformal,-5,0.5215972657315433,1.0,0.0,579,2376,0.7584459459459459,0.7754749568221071,0.07286995515695067,0.24155405405405406,0.3333333333333333,8,0.5128421932458878,0.5218575298786163,0.5102460384368896
agnews:Business,0,24,uniform,conformal,-3,0.5195993762463331,1.0,0.0,655,2376,0.8158783783783784,0.7374045801526717,0.09641255605381166,0.18412162162162163,0.3333333333333333,8,0.5128421932458878,0.5218575298786163,0.5102460384368896
agnews:Business,0,24,uniform,conformal,-1,0.5130450800061226,0.5,0.0,1028,2376,0.9476351351351351,0.5457198443579766,0.2617713004484305,0.052364864864864864,0.3333333333333333,8,0.5128421932458878,0.5218575298786163,0.5102460384368896
agnews:Business,0,24,uniform,conformal,0,0.5102460384368896,0.25,0.0,1274,2376,0.981418918918919,0.45604395604395603,0.38845291479820626,0.018581081081081082,0.3333333333333333,8,0.5128421932458878,0.5218575298786163,0.5102460384368896
agnews:Business,0,24,uniform,conformal,1,0.5102460384368896,0.125,0.0,1274,2376,0.981418918918919,0.45604395604395603,0.38845291479820626,0.018581081081081082,0.3333333333333333,8,0.5128421932458878,0.5218575298786163,0.5102460384368896
agnews:Business,0,24,uniform,conformal,3,0.5102460384368896,0.03125,0.0,1274,2376,0.981418918918919,0.45604395604395603,0.38845291479820626,0.018581081081081082,0.3333333333333333,8,0.5128421932458878,0.5218575298786163,0.5102460384368896
agnews:Business,0,24,uniform,conformal,5,0.5102460384368896,0.0078125,0.010768581081081082,1274,2376,0.981418918918919,0.45604395604395603,0.38845291479820626,0.018581081081081082,0.3333333333333333,8,0.5128421932458878,0.5218575298786163,0.5102460384368896
agnews:Business,0,24,uniform,conformal,7,0.5102460384368896,0.001953125,0.016627956081081082,1274,2376,0.981418918918919,0.45604395604395603,0.38845291479820626,0.018581081081081082,0.3333333333333333,8,0.5128421932458878,0.5218575298786163,0.5102460384368896
