arm,seed,n_votes,treatment,design,inclusion,threshold,temperature,n_included,pool_size,recall,precision,fpr,fnr,sat_frac_extreme,sat_frac_mid,sat_mean_abs_logit,cal_mean_abs_logit
agnews:Business,0,12,raw,argmin,-10,0.5224814116954803,99.99999999993352,473,2388,0.6208053691275168,0.7822410147991543,0.05747767857142857,0.37919463087248323,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,argmin,-7,0.5224814116954803,99.99999999993352,473,2388,0.6208053691275168,0.7822410147991543,0.05747767857142857,0.37919463087248323,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,argmin,-5,0.5224814116954803,99.99999999993352,473,2388,0.6208053691275168,0.7822410147991543,0.05747767857142857,0.37919463087248323,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,argmin,-3,0.5224814116954803,99.99999999993352,473,2388,0.6208053691275168,0.7822410147991543,0.05747767857142857,0.37919463087248323,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,argmin,-1,0.5224814116954803,99.99999999993352,473,2388,0.6208053691275168,0.7822410147991543,0.05747767857142857,0.37919463087248323,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,argmin,0,0.5224814116954803,99.99999999993352,473,2388,0.6208053691275168,0.7822410147991543,0.05747767857142857,0.37919463087248323,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,argmin,1,0.5224814116954803,99.99999999993352,473,2388,0.6208053691275168,0.7822410147991543,0.05747767857142857,0.37919463087248323,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,argmin,3,0.5224814116954803,99.99999999993352,473,2388,0.6208053691275168,0.7822410147991543,0.05747767857142857,0.37919463087248323,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,argmin,5,0.5224814116954803,99.99999999993352,473,2388,0.6208053691275168,0.7822410147991543,0.05747767857142857,0.37919463087248323,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,argmin,7,0.5224814116954803,99.99999999993352,473,2388,0.6208053691275168,0.7822410147991543,0.05747767857142857,0.37919463087248323,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,argmin,10,0.5224814116954803,99.99999999993352,473,2388,0.6208053691275168,0.7822410147991543,0.05747767857142857,0.37919463087248323,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes,-10,0.9990243902439024,99.99999999993352,0,2388,0.0,,0.0,1.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes,-7,0.9922480620155039,99.99999999993352,0,2388,0.0,,0.0,1.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes,-5,0.9696969696969697,99.99999999993352,0,2388,0.0,,0.0,1.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes,-3,0.8888888888888888,99.99999999993352,0,2388,0.0,,0.0,1.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes,-1,0.6666666666666666,99.99999999993352,0,2388,0.0,,0.0,1.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes,0,0.5,99.99999999993352,1097,2388,0.8926174496644296,0.48495897903372837,0.31529017857142855,0.10738255033557047,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes,1,0.3333333333333333,99.99999999993352,2388,2388,1.0,0.24958123953098826,1.0,0.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes,3,0.11111111111111113,99.99999999993352,2388,2388,1.0,0.24958123953098826,1.0,0.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes,5,0.030303030303030304,99.99999999993352,2388,2388,1.0,0.24958123953098826,1.0,0.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes,7,0.007751937984496126,99.99999999993352,2388,2388,1.0,0.24958123953098826,1.0,0.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes,10,0.000975609756097561,99.99999999993352,2388,2388,1.0,0.24958123953098826,1.0,0.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes_temp,-10,1.0,99.99999999993352,0,2388,0.0,,0.0,1.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes_temp,-7,1.0,99.99999999993352,0,2388,0.0,,0.0,1.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes_temp,-5,1.0,99.99999999993352,0,2388,0.0,,0.0,1.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes_temp,-3,1.0,99.99999999993352,0,2388,0.0,,0.0,1.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes_temp,-1,1.0,99.99999999993352,0,2388,0.0,,0.0,1.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes_temp,0,0.5,99.99999999993352,1097,2388,0.8926174496644296,0.48495897903372837,0.31529017857142855,0.10738255033557047,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes_temp,1,7.888609052573547e-31,99.99999999993352,2388,2388,1.0,0.24958123953098826,1.0,0.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes_temp,3,4.909093465976421e-91,99.99999999993352,2388,2388,1.0,0.24958123953098826,1.0,0.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes_temp,5,3.054936364203525e-151,99.99999999993352,2388,2388,1.0,0.24958123953098826,1.0,0.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes_temp,7,1.9010915669084308e-211,99.99999999993352,2388,2388,1.0,0.24958123953098826,1.0,0.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,bayes_temp,10,9.332636189333054e-302,99.99999999993352,2388,2388,1.0,0.24958123953098826,1.0,0.0,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,conformal,-10,0.5314004421234131,99.99999999993352,340,2388,0.4815436241610738,0.8441176470588235,0.029575892857142856,0.5184563758389261,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,conformal,-7,0.5287606526399031,99.99999999993352,375,2388,0.5268456375838926,0.8373333333333334,0.03404017857142857,0.47315436241610737,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,conformal,-5,0.5286595658399165,99.99999999993352,378,2388,0.5302013422818792,0.8359788359788359,0.03459821428571429,0.4697986577181208,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,conformal,-3,0.5282552186399698,99.99999999993352,381,2388,0.5318791946308725,0.8320209973753281,0.03571428571428571,0.46812080536912754,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,conformal,-1,0.5266378298401833,99.99999999993352,406,2388,0.5620805369127517,0.8251231527093597,0.03962053571428571,0.43791946308724833,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,conformal,0,0.5208915770053864,99.99999999993352,492,2388,0.6342281879194631,0.7682926829268293,0.06361607142857142,0.36577181208053694,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,conformal,1,0.5161877423524857,99.99999999993352,574,2388,0.6895973154362416,0.7160278745644599,0.09095982142857142,0.3104026845637584,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,conformal,3,0.5158439166843891,99.99999999993352,581,2388,0.6929530201342282,0.7108433734939759,0.09375,0.3070469798657718,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,conformal,5,0.515757960267365,99.99999999993352,583,2388,0.6929530201342282,0.7084048027444254,0.09486607142857142,0.3070469798657718,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,conformal,7,0.515736471163109,99.99999999993352,585,2388,0.6929530201342282,0.705982905982906,0.09598214285714286,0.3070469798657718,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,raw,conformal,10,0.5157302035077009,99.99999999993352,585,2388,0.6929530201342282,0.705982905982906,0.09598214285714286,0.3070469798657718,0.0,1.0,0.07826592683154433,0.07651705783544827
agnews:Business,0,12,smooth,argmin,-10,0.5252856910228729,99.99999999993352,415,2388,0.5671140939597316,0.8144578313253013,0.04296875,0.43288590604026844,0.0,1.0,0.07722179361476712,0.08136820634434268
agnews:Business,0,12,smooth,argmin,-7,0.5252856910228729,99.99999999993352,415,2388,0.5671140939597316,0.8144578313253013,0.04296875,0.43288590604026844,0.0,1.0,0.07722179361476712,0.08136820634434268
agnews:Business,0,12,smooth,argmin,-5,0.5252856910228729,99.99999999993352,415,2388,0.5671140939597316,0.8144578313253013,0.04296875,0.43288590604026844,0.0,1.0,0.07722179361476712,0.08136820634434268
agnews:Business,0,12,smooth,argmin,-3,0.5252856910228729,99.99999999993352,415,2388,0.5671140939597316,0.8144578313253013,0.04296875,0.43288590604026844,0.0,1.0,0.07722179361476712,0.08136820634434268
agnews:Business,0,12,smooth,argmin,-1,0.5252856910228729,99.99999999993352,415,2388,0.5671140939597316,0.8144578313253013,0.04296875,0.43288590604026844,0.0,1.0,0.07722179361476712,0.08136820634434268
