arm,seed,n_votes,policy,design,inclusion,threshold,alpha_cap,fnr_excess,seed_mode,n_included,pool_size,recall,precision,fpr,fnr,vote_pos_frac,n_cal_pos,cal_pos_q25,test_pos_q25,cal_pos_min
agnews:Business,0,12,uniform,conformal,-10,0.515557587146759,1.0,0.0,text,252,1200,0.43,0.5119047619047619,0.13666666666666666,0.57,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,conformal,-7,0.515557587146759,1.0,0.0,text,252,1200,0.43,0.5119047619047619,0.13666666666666666,0.57,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,conformal,-5,0.515557587146759,1.0,0.0,text,252,1200,0.43,0.5119047619047619,0.13666666666666666,0.57,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,conformal,-3,0.515557587146759,1.0,0.0,text,252,1200,0.43,0.5119047619047619,0.13666666666666666,0.57,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,conformal,-1,0.5119303166866302,0.5,0.0,text,747,1200,0.8766666666666667,0.35207496653279785,0.5377777777777778,0.12333333333333334,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,conformal,0,0.5107641816139221,0.25,0.0,text,915,1200,0.9433333333333334,0.3092896174863388,0.7022222222222222,0.056666666666666664,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,conformal,1,0.5099701583385468,0.125,0.0,text,1015,1200,0.9633333333333334,0.28472906403940884,0.8066666666666666,0.03666666666666667,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,conformal,3,0.5093746408820152,0.03125,0.0,text,1076,1200,0.97,0.2704460966542751,0.8722222222222222,0.03,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,conformal,5,0.5092257615178823,0.0078125,0.0221875,text,1091,1200,0.97,0.26672777268560954,0.8888888888888888,0.03,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,conformal,7,0.5091885416768491,0.001953125,0.021380208333333334,text,1094,1200,0.9766666666666667,0.26782449725776963,0.89,0.023333333333333334,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,conformal,10,0.5091776858898811,0.000244140625,0.023089192708333334,text,1097,1200,0.9766666666666667,0.2670920692798541,0.8933333333333333,0.023333333333333334,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,blend,-10,0.5143352837720678,1.0,0.0,text,386,1200,0.6033333333333334,0.4689119170984456,0.22777777777777777,0.39666666666666667,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,blend,-7,0.5143352837720678,1.0,0.0,text,386,1200,0.6033333333333334,0.4689119170984456,0.22777777777777777,0.39666666666666667,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,blend,-5,0.5143352837720678,1.0,0.0,text,386,1200,0.6033333333333334,0.4689119170984456,0.22777777777777777,0.39666666666666667,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,blend,-3,0.5143352837720678,1.0,0.0,text,386,1200,0.6033333333333334,0.4689119170984456,0.22777777777777777,0.39666666666666667,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,blend,-1,0.5127807392891555,0.5,0.0,text,606,1200,0.7966666666666666,0.3943894389438944,0.4077777777777778,0.20333333333333334,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,blend,0,0.5122809671151377,0.25,0.0,text,689,1200,0.85,0.37010159651669083,0.4822222222222222,0.15,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,blend,1,0.5119406714256911,0.125,0.0016666666666666774,text,744,1200,0.8733333333333333,0.3521505376344086,0.5355555555555556,0.12666666666666668,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,blend,3,0.5116854496586062,0.03125,0.08208333333333333,text,786,1200,0.8866666666666667,0.3384223918575064,0.5777777777777777,0.11333333333333333,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,blend,5,0.5116216442168349,0.0078125,0.09552083333333333,text,796,1200,0.8966666666666666,0.3379396984924623,0.5855555555555556,0.10333333333333333,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,blend,7,0.5116056928563921,0.001953125,0.10138020833333333,text,797,1200,0.8966666666666666,0.33751568381430364,0.5866666666666667,0.10333333333333333,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,blend,10,0.511601040376263,0.000244140625,0.10308919270833333,text,799,1200,0.8966666666666666,0.33667083854818525,0.5888888888888889,0.10333333333333333,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,oracle,-10,0.5212106731487438,1.0,0.0,text,4,1200,0.01,0.75,0.0011111111111111111,0.99,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,oracle,-7,0.5207630767254159,1.0,0.0,text,7,1200,0.016666666666666666,0.7142857142857143,0.0022222222222222222,0.9833333333333333,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,oracle,-5,0.5198365044780076,1.0,0.0,text,19,1200,0.03666666666666667,0.5789473684210527,0.008888888888888889,0.9633333333333334,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,oracle,-3,0.5179829727858305,1.0,0.0,text,70,1200,0.13666666666666666,0.5857142857142857,0.03222222222222222,0.8633333333333333,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,oracle,-1,0.5151390433311462,0.5,0.0,text,297,1200,0.5,0.5050505050505051,0.16333333333333333,0.5,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,oracle,0,0.513165220618248,0.25,0.0,text,556,1200,0.75,0.40467625899280574,0.36777777777777776,0.25,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,oracle,1,0.5119413435459137,0.125,0.0016666666666666774,text,744,1200,0.8733333333333333,0.3521505376344086,0.5355555555555556,0.12666666666666668,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,oracle,3,0.5095409620553255,0.03125,0.002083333333333333,text,1063,1200,0.9666666666666667,0.27281279397930386,0.8588888888888889,0.03333333333333333,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,oracle,5,0.5084773115813732,0.0078125,0.0021875,text,1153,1200,0.99,0.2575888985255854,0.9511111111111111,0.01,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,oracle,7,0.5083591165021062,0.001953125,0.0013802083333333335,text,1160,1200,0.9966666666666667,0.25775862068965516,0.9566666666666667,0.0033333333333333335,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,12,uniform,oracle,10,0.508310628705658,0.000244140625,0.0030891927083333335,text,1161,1200,0.9966666666666667,0.2575366063738157,0.9577777777777777,0.0033333333333333335,0.3333333333333333,4,0.5107641816139221,0.513165220618248,0.5091761350631714
agnews:Business,0,24,uniform,conformal,-10,0.523248702287674,1.0,0.0,text,266,1200,0.6933333333333334,0.7819548872180451,0.06444444444444444,0.30666666666666664,0.3333333333333333,8,0.5175470262765884,0.5207399129867554,0.5155842900276184
