tier,class_id,source,kind,n_positive,pool,n_pool,method,budget,floor,pos_inliers_median,neg_inliers_max,neg_over_floor,pos_over_floor,ap,first_hit,r@10,r@50,r@100
s,spods/stamp_00931_1,spods,stamp,12,own_verified,4998,splg_siglip,2048,24,0.0,18,0,0,0.031728356983906025,6,0.08333333333333333,0.08333333333333333,0.16666666666666666
s,staver/stamp_stampds-00213_1,staver,stamp,15,own_verified,4998,siglip,2048,24,7.0,40,8,0,0.06798900196753722,5,0.13333333333333333,0.2,0.3333333333333333
s,staver/stamp_stampds-00213_1,staver,stamp,15,own_verified,4998,splg,2048,24,7.0,40,8,0,0.018071065240907604,31,0.0,0.06666666666666667,0.2
s,staver/stamp_stampds-00213_1,staver,stamp,15,own_verified,4998,splg_siglip,2048,24,7.0,40,8,0,0.04921094294555203,13,0.0,0.2,0.3333333333333333
s,staver/stamp_stampds-00230_0,staver,stamp,7,own_verified,4998,siglip,2048,24,25.0,21,0,4,0.058308945104927803,7,0.14285714285714285,0.2857142857142857,0.7142857142857143
s,staver/stamp_stampds-00230_0,staver,stamp,7,own_verified,4998,splg,2048,24,25.0,21,0,4,0.8441751700680271,1,0.8571428571428571,1.0,1.0
s,staver/stamp_stampds-00230_0,staver,stamp,7,own_verified,4998,splg_siglip,2048,24,25.0,21,0,4,0.6064260782847171,1,0.5714285714285714,0.7142857142857143,0.8571428571428571
s,tobacco800/logo_aah97e00-page02_1_0,tobacco800,logo,56,own_verified,4841,siglip,2048,24,7.0,37,15,3,0.02350390940790106,54,0.0,0.0,0.07142857142857142
s,tobacco800/logo_aah97e00-page02_1_0,tobacco800,logo,56,own_verified,4841,splg,2048,24,7.0,37,15,3,0.10873164650013466,1,0.05357142857142857,0.10714285714285714,0.16071428571428573
s,tobacco800/logo_aah97e00-page02_1_0,tobacco800,logo,56,own_verified,4841,splg_siglip,2048,24,7.0,37,15,3,0.06665918229518583,1,0.05357142857142857,0.05357142857142857,0.10714285714285714
s,tobacco800/logo_aeq93a00_1,tobacco800,logo,9,own_verified,4841,siglip,2048,24,4.0,34,4,1,0.008392090389628216,83,0.0,0.0,0.1111111111111111
s,tobacco800/logo_aeq93a00_1,tobacco800,logo,9,own_verified,4841,splg,2048,24,4.0,34,4,1,0.1139354842051245,1,0.1111111111111111,0.1111111111111111,0.1111111111111111
s,tobacco800/logo_aeq93a00_1,tobacco800,logo,9,own_verified,4841,splg_siglip,2048,24,4.0,34,4,1,0.12112119481507563,1,0.1111111111111111,0.1111111111111111,0.2222222222222222
s,tobacco800/logo_afm90c00-first_1_0,tobacco800,logo,79,own_verified,4841,siglip,2048,24,0.0,25,1,0,0.015442106690513572,340,0.0,0.0,0.0
s,tobacco800/logo_afm90c00-first_1_0,tobacco800,logo,79,own_verified,4841,splg,2048,24,0.0,25,1,0,0.048633108031949535,4,0.0379746835443038,0.0759493670886076,0.10126582278481013
s,tobacco800/logo_afm90c00-first_1_0,tobacco800,logo,79,own_verified,4841,splg_siglip,2048,24,0.0,25,1,0,0.015442106690513572,340,0.0,0.0,0.0
s,tobacco800/logo_ajj10e00_1,tobacco800,logo,46,own_verified,4841,siglip,2048,24,28.0,48,31,30,0.8821451678188774,1,0.21739130434782608,0.8913043478260869,0.9565217391304348
s,tobacco800/logo_ajj10e00_1,tobacco800,logo,46,own_verified,4841,splg,2048,24,28.0,48,31,30,0.5425354776195288,1,0.15217391304347827,0.6304347826086957,0.7608695652173914
s,tobacco800/logo_ajj10e00_1,tobacco800,logo,46,own_verified,4841,splg_siglip,2048,24,28.0,48,31,30,0.6315875087581115,1,0.15217391304347827,0.6304347826086957,0.9782608695652174
s,tobacco800/logo_ald41a00-ernest_1,tobacco800,logo,45,own_verified,4841,siglip,2048,24,4.0,34,9,9,0.11829934097282672,4,0.06666666666666667,0.24444444444444444,0.28888888888888886
s,tobacco800/logo_ald41a00-ernest_1,tobacco800,logo,45,own_verified,4841,splg,2048,24,4.0,34,9,9,0.23562756700590076,1,0.17777777777777778,0.26666666666666666,0.26666666666666666
s,tobacco800/logo_ald41a00-ernest_1,tobacco800,logo,45,own_verified,4841,splg_siglip,2048,24,4.0,34,9,9,0.3078451801218684,1,0.17777777777777778,0.37777777777777777,0.4
s,tobacco800/logo_asg54f00_1,tobacco800,logo,5,own_verified,4841,siglip,2048,24,24.0,17,0,3,0.02635372007547785,55,0.0,0.0,0.4
s,tobacco800/logo_asg54f00_1,tobacco800,logo,5,own_verified,4841,splg,2048,24,24.0,17,0,3,1.0,1,1.0,1.0,1.0
s,tobacco800/logo_asg54f00_1,tobacco800,logo,5,own_verified,4841,splg_siglip,2048,24,24.0,17,0,3,0.6194444444444445,1,0.6,0.6,0.8
s,tobacco800/logo_azb11c00_1,tobacco800,logo,23,own_verified,4841,siglip,2048,24,0.0,20,0,0,0.024505278239597358,9,0.043478260869565216,0.043478260869565216,0.043478260869565216
s,tobacco800/logo_azb11c00_1,tobacco800,logo,23,own_verified,4841,splg,2048,24,0.0,20,0,0,0.021300047882452416,26,0.0,0.13043478260869565,0.17391304347826086
s,tobacco800/logo_azb11c00_1,tobacco800,logo,23,own_verified,4841,splg_siglip,2048,24,0.0,20,0,0,0.024505278239597358,9,0.043478260869565216,0.043478260869565216,0.043478260869565216
s,tobacco800/logo_bqz95d00_1,tobacco800,logo,8,own_verified,4841,siglip,2048,24,52.5,95,7,7,0.002731381941081519,844,0.0,0.0,0.0
s,tobacco800/logo_bqz95d00_1,tobacco800,logo,8,own_verified,4841,splg,2048,24,52.5,95,7,7,0.5895833333333333,2,0.625,1.0,1.0
s,tobacco800/logo_bqz95d00_1,tobacco800,logo,8,own_verified,4841,splg_siglip,2048,24,52.5,95,7,7,0.5275495337995338,2,0.625,0.875,0.875
s,tobacco800/logo_cgr96c00_1,tobacco800,logo,7,own_verified,4841,siglip,2048,24,0.0,23,0,0,0.0018643662836345283,875,0.0,0.0,0.0
s,tobacco800/logo_cgr96c00_1,tobacco800,logo,7,own_verified,4841,splg,2048,24,0.0,23,0,0,0.0014140847369306093,1752,0.0,0.0,0.0
s,tobacco800/logo_cgr96c00_1,tobacco800,logo,7,own_verified,4841,splg_siglip,2048,24,0.0,23,0,0,0.0018643662836345283,875,0.0,0.0,0.0
s,tobacco800/logo_ciy01a00-page02_1_0,tobacco800,logo,21,own_verified,4841,siglip,2048,24,14.0,32,12,8,0.08698269354008605,4,0.047619047619047616,0.23809523809523808,0.3333333333333333
s,tobacco800/logo_ciy01a00-page02_1_0,tobacco800,logo,21,own_verified,4841,splg,2048,24,14.0,32,12,8,0.39046565371743086,1,0.2857142857142857,0.47619047619047616,0.5714285714285714
s,tobacco800/logo_ciy01a00-page02_1_0,tobacco800,logo,21,own_verified,4841,splg_siglip,2048,24,14.0,32,12,8,0.4174961282979443,1,0.3333333333333333,0.47619047619047616,0.6190476190476191
