geometry,band,corr_terms_across_arms,max_abs_sum_minus_regret,spread_rule_inefficiency,spread_calibration_shift,spread_regret
clip/whole_image,deep 101-150,-0.9214473084939117,1.291666666333735e-08,0.02605823416666667,0.014920936249999996,0.011137298749999993
clip/whole_image,early 1-25,-0.9873671832038003,2.6695526726683294e-08,0.10552915047799422,0.07901169521103898,0.03342298845741246
clip/whole_image,late 61-100,-0.6838812726431817,1.6666666664832963e-08,0.010964007291666661,0.01420523697916666,0.009741559895833335
clip/whole_image,mid 26-60,-0.9966244062500459,1.7857142840804752e-08,0.05158432202380954,0.042886244642857146,0.011829227380952385
