dataset,embedder,seed,ks_shipped,sd_shipped,ks_deepest,sd_deepest,path_len,frac_below_05,ks_build,sd_uniform,deepest_widens,path_len_resolvable
caltech101_m,clip,0,0.1093676572754269,0.2555530969847263,0.1308351800904649,0.2916716044395143,2.9345238095238093,0.0357142857142857,0.103788780810228,0.2886751345948129,True,False
caltech101_m,clip,1,0.1004850722494579,0.2420853332721916,0.0605894305340436,0.2991134692252211,2.970238095238096,0.0416666666666666,0.1027960537084892,0.2886751345948129,True,False
caltech101_m,clip,2,0.1090973842711675,0.2528090268077633,0.1475621428018366,0.3118894369743735,3.1011904761904763,0.0357142857142857,0.1039366609124995,0.2886751345948129,True,True
coco_val,clip,0,0.0984327406594247,0.2490560433735853,0.1081359596188376,0.3087271958118553,4.644444444444445,0.0424242424242424,0.0765545747907158,0.2886751345948129,True,True
coco_val,clip,1,0.117080478355138,0.2437769548540139,0.1480052022159296,0.3086428299625377,4.672727272727273,0.0515151515151515,0.0755738469009023,0.2886751345948129,True,True
coco_val,clip,2,0.1072305563724402,0.2441262810341563,0.1119886036448335,0.308939842609126,4.64040404040404,0.0373737373737373,0.0831588202958634,0.2886751345948129,True,True
vg_box_large,clip,0,0.118300331433614,0.2435023987347475,0.1503904255838626,0.315820532794695,5.431666666666667,0.05125,0.084870913028717,0.2886751345948129,True,True
vg_box_large,clip,1,0.1165357955296834,0.2435013929413748,0.1555311742043797,0.3130007653240015,5.48875,0.04875,0.0847117678324381,0.2886751345948129,True,True
vg_box_large,clip,2,0.0976677767435709,0.2490093500057663,0.1306006366503013,0.3204114529448469,5.46125,0.0445833333333333,0.0854208898544311,0.2886751345948129,True,True
vg_scale_any,clip,0,0.1049530095943256,0.2394610742109542,0.1128974446264135,0.3182423265900377,5.041962556488057,0.0284054228534538,0.0947388923814428,0.2886751345948129,True,True
vg_scale_any,clip,1,0.1014206576839887,0.2433622643240704,0.1427182280182899,0.3178755618302938,5.034861200774693,0.0348612007746933,0.0912795711733057,0.2886751345948129,True,True
vg_scale_any,clip,2,0.1040349207515483,0.2422345534934415,0.1274189131521262,0.3127977495012251,4.960619754680439,0.0290510006455777,0.091113281436565,0.2886751345948129,True,True
visual_genome_m,clip,0,0.1152538525049393,0.2412042133124104,0.1196821626332982,0.3108408889277379,4.33849821215733,0.0429082240762812,0.0873146993138637,0.2886751345948129,True,True
