embedder,n,n_shifted,z_median,frac_atypical_median,false_positive_rate
dinov3_patch,5,4,12.771440023313891,0.1207230471271788,0.8
clip_l,5,1,0.7636050401890093,0.0542285345384118,0.2
clip,5,0,-1.5761418313654838,0.0381406436233611,0.0
siglip,5,0,-1.23952281123612,0.0414141414141414,0.0
siglip2_l,5,0,-1.73454804557307,0.0383838383838383,0.0
