layer,n_clusters,size_median,within_cosine_median,between_cosine_median,coherence_gap_median,share_gap_at_or_below_zero,gt_purity_median,share_purity_below_floor
0,1850,42.0,0.6787076258966849,0.4893948003562648,0.216755425175717,0.0,0.7906976744186046,0.18902770233568714
1,696,133.0,0.6343225594908235,0.4875770965830477,0.16767383856636875,0.0,0.6493789217569471,0.24568965517241378
2,244,327.5,0.5903778562184382,0.4858818960031413,0.11772444454266046,0.0,0.5373687819802712,0.44672131147540983
3,42,703.0,0.5373453487900989,0.4790968833794259,0.06519388969893215,0.0,0.51257298526716,0.47619047619047616
