combiner,n_cells,ks_uniform_median,ks_uniform_se,sd_median,sd_uniform,frac_below_05_median,nominal_frac_below_05,is_shipped
median,75,0.0711901438464392,0.0020025635523830687,0.2757679370423238,0.2886751345948129,0.0767676767676767,0.05,False
mean,75,0.1032493342137639,0.001549674046989549,0.2497721142773699,0.2886751345948129,0.0429082240762812,0.05,True
deepest,75,0.132355002494571,0.0036786651220198367,0.3133632566310949,0.2886751345948129,0.1558333333333333,0.05,False
fisher,75,0.1857631597266773,0.002947773721168381,0.3814299661059545,0.2886751345948129,0.197546804389929,0.05,False
min,75,0.329415844821971,0.0024729986847257346,0.2338994717780243,0.2886751345948129,0.2262626262626262,0.05,False
