pairs,n,z_median,z_min,z_max,frac_atypical_median,n_shifted,share_shifted
cross-dataset,100,13.006168918233993,-14.509525002200236,261.2439976646152,0.1185,51,0.51
self (held-out split),25,-0.8495907904857468,-4.715698301625259,25.84976839965476,0.0416666666666666,5,0.2
