embedder,n_self,false_positive_rate,self_z_median,self_frac_atypical_median,n_diff_source,detect_different_source,n_same_source,detect_same_source,separation
dinov3_patch,5,0.8,12.771440023313891,0.1207230471271788,14,0.9285714285714286,6,1.0,0.12857142857142856
clip_l,5,0.2,0.7636050401890093,0.0542285345384118,14,0.5,6,0.0,0.3
clip,5,0.0,-1.5761418313654838,0.0381406436233611,14,0.5714285714285714,6,0.0,0.5714285714285714
siglip,5,0.0,-1.23952281123612,0.0414141414141414,14,0.7142857142857143,6,0.0,0.7142857142857143
siglip2_l,5,0.0,-1.73454804557307,0.0383838383838383,14,0.5,6,0.0,0.5
