arm,n,slope,slope_se,r2_base,r2_full,partial_r2,resolvable,meets_bar
siglip+dinov3_patch/max_patch,1924,-0.16264879632347604,0.011861984182335932,1.8904533646169064e-05,0.08916444764745313,0.08914722840058571,False,False
siglip+dinov3_patch/whole_image,1924,-0.3835253388283638,0.033994128700252424,0.0018700074511491804,0.06389644328857458,0.062142643042949815,False,False
siglip/whole_image,1924,-0.3026774858036001,0.029069129878546537,0.0003453661877016456,0.05374950614265117,0.05342259031130249,False,False
