mode,schedule,mean,se,n,ci_hi,question
region,corridor:w=0.05,-0.008454585648148147,0.002725164738572198,288,-0.003113262760546638,q1c
region,corridor:w=0.1,-0.010318484374999999,0.002906354530767663,288,-0.004622029494695379,q1c
region,corridor:w=0.2,-0.012187031828703702,0.0033078548063229895,288,-0.005703636408310643,q1c
region,corridor:w=0.3,-0.015865612847222224,0.0035570244564975613,288,-0.008893844912487004,q1c
region,corridor:w=0.5,-0.013517793981481481,0.004575151547865264,288,-0.0045504969476655634,q1c
region,corridor:w=0.75,-0.005174224537037036,0.005833022751475367,288,0.006258500055854684,q1c
region,corridor_ramp,-0.005430902777777778,0.0027058187060627955,288,-0.00012749811389469942,q1c
region,corridor_ramp:w=0.2,-0.005380166666666668,0.002678179563110162,288,-0.0001309347229707502,q1c
region,corridor_ramp:w=0.5,-0.005411743055555555,0.0026947212114180005,288,-0.00013008948117627407,q1c
region,prod,0.0,0.0,288,0.0,q1c
region,pure_gmm,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,pure_xcal,0.6366368153935186,0.014742912453608112,288,0.6655329238025904,q1c
region,rare:lo=0:hi=16,0.5614382239583333,0.014912443405277667,288,0.5906666130326775,q1c
region,rare:lo=0:hi=32,0.2237349201388889,0.011379980365378288,288,0.24603968165503035,q1c
region,rare:lo=0:hi=4,0.6366368153935186,0.014742912453608112,288,0.6655329238025904,q1c
region,rare:lo=0:hi=64,0.04712881944444445,0.008275171809274048,288,0.06334815619062159,q1c
region,rare:lo=0:hi=8,0.6366368153935186,0.014742912453608112,288,0.6655329238025904,q1c
region,rare:lo=1:hi=16,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=1:hi=16:cap=0.5,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=1:hi=16:cap=0.8,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=1:hi=32,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=1:hi=32:cap=0.5,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=1:hi=32:cap=0.8,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=1:hi=4,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=1:hi=4:cap=0.5,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=1:hi=64,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=1:hi=8,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=1:hi=8:cap=0.5,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=1:hi=8:cap=0.8,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=2:hi=16,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=2:hi=32,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=2:hi=4,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=2:hi=64,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=2:hi=8,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=4:hi=16,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=4:hi=32,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=4:hi=64,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,rare:lo=4:hi=8,-0.005342881944444444,0.0026591341817987883,288,-0.00013097894811881904,q1c
region,slow_cap50,0.0,0.0,288,0.0,q1c
