env,weighting,n,mean,se,ci_hi,resolvable
caltech101_m / binary,1:1,192,-0.0001943757173531515,6.656275412793831e-05,-6.391271926239244e-05,True
caltech101_m / binary,fpr x4,192,-0.0002166698811659381,0.00021156557546856794,0.00019799864675245507,False
caltech101_m / binary,fnr x4,192,-0.0007552087055998202,0.0005353769740816259,0.0002941301636001665,False
caltech101_m / binary,AP (higher=better),192,-1.4664824263092846e-07,1.4664824263092843e-07,1.4078231292569128e-07,False
coco_val / binary,1:1,304,-0.0001620177561585208,7.74897194473423e-06,-0.0001468297711468417,True
coco_val / binary,fpr x4,304,-0.0008689944119302134,2.7034118769087947e-05,-0.0008160075391428009,True
coco_val / binary,fnr x4,304,5.89056311375964e-05,2.961195257055394e-05,0.00011694505817588212,False
coco_val / binary,AP (higher=better),304,0.0,0.0,0.0,False
visual_genome_m / binary,1:1,272,-0.00018533053031950854,2.6158604953454422e-05,-0.00013405966461073788,True
visual_genome_m / binary,fpr x4,272,-0.0010072175028032037,0.00014702829386678882,-0.0007190420468242977,True
visual_genome_m / binary,fnr x4,272,8.056485120566614e-05,0.00020713292624558615,0.00048654538664701503,False
visual_genome_m / binary,AP (higher=better),272,0.0,0.0,0.0,False
