env,weighting,n,mean,se,ci_hi,resolvable
coco_val / region,1:1,304,-2.8151784539199504e-05,3.577345254071618e-06,-2.1140187841219132e-05,True
coco_val / region,fpr x4,304,-0.00017997206325547476,8.15578958375893e-06,-0.00016398671567130726,True
coco_val / region,fnr x4,304,3.921314055947991e-05,1.2559492335470501e-05,6.382974553700209e-05,True
coco_val / region,AP (higher=better),304,0.0,0.0,0.0,False
visual_genome_m / region,1:1,272,-0.0002777988714967013,0.00016258933082338327,4.0876216917129895e-05,False
visual_genome_m / region,fpr x4,272,-0.0009463052189439951,0.0008528099382506724,0.0007252022600273228,False
visual_genome_m / region,fnr x4,272,-0.0004426891385395155,0.0002376768001208444,2.3157389697339497e-05,False
visual_genome_m / region,AP (higher=better),272,0.00016587214328298914,0.00016587214328298922,0.000490981544117648,False
