dataset,category,seed,geometry,t,threshold_k2,cost_k2,fpr_k2,fnr_k2,n_flagged_k2,n_votes_k2,n_folds_used_k2,threshold_k8,cost_k8,fpr_k8,fnr_k8,n_flagged_k8,n_votes_k8,n_folds_used_k8,d_cost,d_threshold
vg_scale_any,bird,3,siglip/whole_image,19,0.442739,0.301028,0.116315,0.184713,354.0,19,2.0,0.41734,0.407109,0.305198,0.101911,734.0,19,8.0,0.10608099999999998,-0.025399000000000005
vg_scale_any,bus,1,siglip/whole_image,12,0.446564,0.519558,0.472578,0.04698,1064.0,12,2.0,0.460917,0.422317,0.355202,0.067114,832.0,12,8.0,-0.09724099999999997,0.014353000000000005
vg_scale_any,clock,1,siglip/whole_image,7,0.476293,0.417687,0.137966,0.27972,373.0,7,2.0,0.463964,0.513856,0.283086,0.230769,664.0,7,8.0,0.096169,-0.012329000000000034
vg_scale_any,kite,0,siglip/whole_image,6,0.483104,0.170617,0.090862,0.079755,326.0,6,2.0,0.471118,0.26585,0.210635,0.055215,562.0,6,8.0,0.09523299999999998,-0.011985999999999997
vg_scale_any,kite,3,siglip/whole_image,6,0.465415,0.49898,0.477551,0.021429,1073.0,6,0.0,0.473488,0.404082,0.382653,0.021429,887.0,6,4.0,-0.09489799999999998,0.008072999999999997
vg_scale_any,bird,2,siglip/whole_image,40,0.399144,0.444534,0.275615,0.168919,661.0,40,2.0,0.419728,0.353124,0.163934,0.189189,440.0,40,8.0,-0.09140999999999999,0.02058399999999999
vg_scale_any,bird,3,siglip/whole_image,16,0.444554,0.378032,0.250643,0.127389,624.0,16,2.0,0.433312,0.466555,0.339166,0.127389,796.0,16,8.0,0.08852300000000002,-0.01124200000000003
vg_scale_any,knife,3,siglip/whole_image,5,0.461626,0.687839,0.680797,0.007042,1474.0,5,2.0,0.452449,0.772109,0.765066,0.007042,1639.0,5,8.0,0.08427000000000007,-0.00917699999999999
vg_scale_any,bus,0,siglip/whole_image,6,0.448997,0.913846,0.873846,0.04,1848.0,6,2.0,0.46935,0.835897,0.769231,0.066667,1640.0,6,8.0,-0.07794900000000005,0.02035300000000001
vg_scale_any,bird,3,siglip/whole_image,18,0.456269,0.325283,0.121462,0.203822,361.0,18,2.0,0.427638,0.402156,0.293875,0.10828,711.0,18,8.0,0.07687300000000002,-0.028630999999999962
vg_scale_any,kite,2,siglip/whole_image,61,0.362122,0.164055,0.143076,0.020979,420.0,61,2.0,0.391563,0.089451,0.068472,0.020979,274.0,61,8.0,-0.074604,0.029440999999999995
