geometry,mode,band,k,metric,delta,se,n_cells,n_steps,win_rate,resolved,beats_margin
siglip/whole_image,binary,early 1-25,4,regret_honest,-0.0008038720238095244,0.0008066580887533952,48,1008,0.6458333333333334,False,False
siglip/whole_image,binary,early 1-25,6,regret_honest,-0.0015493422619047622,0.0010520361197282823,48,1008,0.7083333333333334,False,False
siglip/whole_image,binary,early 1-25,8,regret_honest,-0.0015497043650793652,0.0009731793794311299,48,1008,0.6875,False,False
siglip/whole_image,binary,late 61-100,1,regret_honest,0.0021039479166666667,0.0008682306487952658,48,1920,0.375,True,False
siglip/whole_image,binary,late 61-100,3,regret_honest,-2.554322916666665e-05,0.00040938573774647037,48,1920,0.4375,False,False
siglip/whole_image,binary,late 61-100,4,regret_honest,9.303124999999972e-06,0.0005480032128820081,48,1920,0.4791666666666667,False,False
siglip/whole_image,binary,late 61-100,6,regret_honest,0.00036730729166666655,0.0006812909041410762,48,1920,0.5,False,False
siglip/whole_image,binary,late 61-100,8,regret_honest,0.0004368989583333331,0.0007377996332730486,48,1920,0.5208333333333334,False,False
siglip/whole_image,binary,mid 26-60,1,regret_honest,0.0015055208333333335,0.0008023750197826086,48,1680,0.375,False,False
siglip/whole_image,binary,mid 26-60,3,regret_honest,-0.0006078535714285713,0.000449573064750167,48,1680,0.6041666666666666,False,False
siglip/whole_image,binary,mid 26-60,4,regret_honest,-0.0016282351190476192,0.0005833783455056004,48,1680,0.6875,True,False
siglip/whole_image,binary,mid 26-60,6,regret_honest,-0.0019200952380952383,0.0007176043767863077,48,1680,0.7083333333333334,True,False
siglip/whole_image,binary,mid 26-60,8,regret_honest,-0.0018383130952380952,0.0007864110901005418,48,1680,0.6666666666666666,True,False
