pair,kind,n,mean,sd,se,se_clustered,frac_zero,never_diverge,median_divergence_step,what
native-sklearn,arm,114,-0.006129939609806835,0.053067490708052285,0.004970225885340515,0.005410498380378034,0.09649122807017543,0.008771929824561403,4.0,#3585: the native fit vs sklearn
ll1e-3-baseline,arm,114,0.025974436782616593,0.06612392532763016,0.0061930730267945825,0.00736944672628486,0.05263157894736842,0.02631578947368421,5.0,"#3825: 1e-3, a real +0.026 regression"
ll1e-6-baseline,arm,114,0.004436289187267919,0.03357556718832535,0.0031446399844393394,0.0031166836705270808,0.09649122807017543,0.07017543859649122,5.0,#3825: 1e-6
ll1e-8-baseline,arm,114,0.0049299125203368065,0.039531624325273206,0.003702475845182864,0.004361244714757316,0.15789473684210525,0.15789473684210525,6.0,"#3825: 1e-8, the shipped rule"
ll1e-6-ll1e-8,arm,114,-0.0004936233330688858,0.04505722001966976,0.004219995297973735,0.004955476056211741,0.09649122807017543,0.07017543859649122,5.0,#3825: the two arms it could not separate
baseline-native,drift,114,-0.002411871699802649,0.014700654665549392,0.0013768424580715792,0.001509909675735947,0.2982456140350877,0.2894736842105263,48.0,"nominally the same fit, run by two studies"
v:ll1e-8-baseline,validation,399,0.0009653912737806662,0.03788438228155545,0.001896591336815813,0.0016385868493639009,0.15288220551378445,0.12531328320802004,7.0,"seeds 2-8, the validation grid"
