pair,categories,seeds_per_category,sd_seed,sd_category,icc
native-sklearn,57,2.0,0.048002913081391214,0.0247851007424116,0.21047942250504675
ll1e-3-baseline,57,2.0,0.050847411425400266,0.04313075659159267,0.41843876199616153
ll1e-6-baseline,57,2.0,0.033866260309243654,0.0012727684213482322,0.0014104293103386382
ll1e-8-baseline,57,2.0,0.031109339065253275,0.024234624546054965,0.3776696058349232
ll1e-6-ll1e-8,57,2.0,0.035697818161324314,0.025750040394745922,0.34224475606755617
baseline-native,57,2.0,0.01315623256286181,0.007025976935679575,0.2219113184322116
v:ll1e-8-baseline,57,7.0,0.03866285582837222,0.0,0.0
