arm,metric,ref,value,diff,se,n_cells,verdict
fp32,cost,0.16921090158371038,0.17115192565359477,0.0019410240698843639,0.0013363214096422684,624,below margin (resolved)
fp32,regret,0.04781932158119658,0.04886015485168426,0.0010408332704876823,0.0010725062630737732,624,below margin (resolved)
fp32,average_precision,0.7625095769230769,0.7627961732340373,0.00028659631096028125,0.0014623087755094597,624,below margin (resolved)
fp32,fnr,0.06357244940925089,0.06427287116641528,0.0007004217571644042,0.0011786446546935604,624,below margin (resolved)
fp32,fpr,0.10563847567873304,0.106879077268728,0.0012406015899949722,0.0014486935755838946,624,below margin (resolved)
fp32,rule_inefficiency,-0.027679526520864757,-0.027755638166163898,-7.611164529914581e-05,0.002366712308302695,624,below margin (resolved)
fp32,calibration_shift,0.07549884637380593,0.07661579474610357,0.0011169483722976365,0.0021187214630120506,624,cannot resolve at this n
fp32,n_good,30.053041729512316,30.307912267471085,0.2548705379587734,0.33909641448675093,624,count: within noise
