dataset,band,t,cost_fp16,cost_fp32,ap_fp16,ap_fp32,n
coco_val,above_4x,2,0.622334,0.6222057142857143,0.3623071428571429,0.3623748571428571,7
coco_val,above_4x,3,0.54300425,0.54285425,0.42371133333333333,0.42373016666666663,12
coco_val,above_4x,4,0.23247027083333335,0.23252060416666667,0.7919561354166667,0.7919559895833334,96
coco_val,above_4x,5,0.22677197916666667,0.22819634375,0.8072687916666667,0.8072681979166667,96
coco_val,above_4x,6,0.21352069791666664,0.21850604166666665,0.8149361979166666,0.8149684583333333,96
coco_val,above_4x,7,0.20873433333333333,0.20754255208333336,0.8179346770833332,0.8179401145833333,96
coco_val,above_4x,8,0.20668403125,0.20853998958333334,0.81939421875,0.82069771875,96
coco_val,above_4x,9,0.20123261458333333,0.21363954166666665,0.8216395416666668,0.8190913750000001,96
coco_val,above_4x,10,0.19307360416666666,0.19150355208333333,0.8212109166666667,0.8215135729166666,96
coco_val,above_4x,11,0.1982874375,0.19688094791666666,0.8228868541666667,0.8177260833333334,96
coco_val,above_4x,12,0.19534227083333333,0.21017885416666668,0.8287607916666667,0.8131601666666667,96
coco_val,above_4x,13,0.18713564583333334,0.19072027083333332,0.82526309375,0.8212571041666666,96
coco_val,above_4x,14,0.17910275,0.18992969791666667,0.8245424583333333,0.8233148541666666,96
coco_val,above_4x,15,0.18587702083333332,0.19107530208333334,0.8253281979166666,0.81896590625,96
coco_val,above_4x,16,0.18700611458333335,0.190131375,0.8211008229166666,0.8171007291666667,96
coco_val,above_4x,17,0.18189129166666665,0.18662082291666668,0.82127846875,0.8162134166666667,96
coco_val,above_4x,18,0.1789065,0.18488022916666666,0.8210770104166666,0.8167787604166666,96
coco_val,above_4x,19,0.17844346874999997,0.18364458333333333,0.8221827083333334,0.8205996562500001,96
coco_val,above_4x,20,0.18531953125,0.18500358333333333,0.8210208333333333,0.8222212604166667,96
coco_val,above_4x,21,0.18418355208333334,0.18376520833333332,0.8224199895833334,0.8259508437499999,96
coco_val,above_4x,22,0.18063398958333332,0.17681744791666668,0.8242851145833333,0.8268277604166667,96
coco_val,above_4x,23,0.18219893750000002,0.17828884374999998,0.8254126666666667,0.82900796875,96
