media_type,embedder,n_pairs,n_clusters,n_datasets,map_plain,map_arm,delta,se_cluster,se_naive,t,helped,hurt
audio,clap,150,50,3,0.85991146,0.8498126933333334,-0.010098766666666667,0.008022665192460511,0.005602559744874826,-1.258779523313178,41,65
audio,clap_general,150,50,3,0.88277474,0.8967109266666667,0.013936186666666668,0.009149392580604907,0.0059455707137841115,1.5231816258719642,54,44
image,siglip,335,180,13,0.5890010358208956,0.5884292,-0.0005718358208955234,0.001599623781289649,0.0012474685381979132,-0.35748144506485,122,143
text,bge,45,15,3,0.5762050222222223,0.5171984444444445,-0.05900657777777776,0.008950225212824656,0.005342546038474643,-6.5927478219462055,0,45
text,e5,45,15,3,0.6104491999999999,0.5536606000000001,-0.05678860000000001,0.008641910160455018,0.005108061028127083,-6.571301823971975,0,45
video,xclip,30,10,3,0.8193544333333332,0.8268687000000001,0.007514266666666684,0.01363022284962247,0.008653243231461558,0.551294483558265,8,12
