media_type,embedder,n_categories,pearson_r,spearman_r,mean_query_words
audio,clap,50,0.04138040240755049,0.0305231954497871,3.12
audio,clap_general,50,-0.38373892841194107,-0.34411444079599735,3.12
image,siglip,180,-0.09646042704668337,-0.0716560683721875,4.927777777777778
text,bge,15,0.31168121770574947,0.23141128403280808,4.666666666666667
text,e5,15,0.14097767962762794,0.15092040263009224,4.666666666666667
video,xclip,10,0.22491423247812312,-0.07479575920067658,4.7
