media_type,embedder,n_pairs,n_clusters,n_datasets,map_plain,map_arm,delta,se_cluster,se_naive,t,helped,hurt
audio,clap,150,50,3,0.7373333333333334,0.7306666666666666,-0.006666666666666665,0.006245179546954286,0.0052385310257723125,-1.0674899923282326,15,19
audio,clap_general,150,50,3,0.7506666666666667,0.7613333333333333,0.010666666666666668,0.008956432720387616,0.006831082184986961,1.190950348165518,19,10
image,siglip,335,180,13,0.6794029850746268,0.6764179104477612,-0.0029850746268656717,0.0032431220508542737,0.003351772861537263,-0.9204324043491889,42,48
text,bge,45,15,3,0.8644444444444446,0.8422222222222223,-0.022222222222222223,0.012875745898840154,0.012263474917798943,-1.7258978545253831,6,11
text,e5,45,15,3,0.8844444444444444,0.8622222222222221,-0.022222222222222216,0.016798421022632324,0.013061195858783528,-1.3228756555322947,5,13
video,xclip,30,10,3,0.7133333333333334,0.7033333333333334,-0.01,0.0111665284679121,0.008775619308793744,-0.8955334711889903,1,3
