media_type,embedder,n_pairs,n_clusters,n_datasets,map_plain,map_arm,delta,se_cluster,se_naive,t,helped,hurt
audio,clap,150,50,3,0.8826666666666665,0.8679999999999999,-0.014666666666666668,0.01030861647827414,0.008893436569706252,-1.4227580100178632,11,20
audio,clap_general,150,50,3,0.8973333333333335,0.912,0.014666666666666668,0.010308616478274139,0.007822795043767504,1.4227580100178634,14,7
image,siglip,335,180,13,0.7116417910447761,0.7092537313432836,-0.002388059701492537,0.005612955763913805,0.005071734546098952,-0.4254549299756799,31,32
text,bge,45,15,3,0.8933333333333332,0.8844444444444444,-0.008888888888888885,0.011015461316125377,0.010927780473776579,-0.8069465847859288,2,4
text,e5,45,15,3,0.8977777777777776,0.8933333333333334,-0.004444444444444446,0.013750100208068387,0.01958033324680958,-0.3232299675777273,4,6
video,xclip,30,10,3,0.8200000000000001,0.8333333333333334,0.013333333333333338,0.013333333333333329,0.016423513654705058,1.0000000000000007,2,1
